"sound.files","selec","start","end","bottom.freq","top.freq","distance","signal.type","duration","frequency.modulation","amplitude.modulation","transect","site","frequency","treatment.replicates","reference","blur.ratio","envelope.correlation","excess.attenuation","SPL","signal.to.noise.ratio.t2","signal.to.noise.ratio","cross.correlation","spectral.blur.ratio","spectrum.correlation","tail.to.noise.ratio","tail.to.signal.ratio"
"T0_HA_M3_P3_D01.WAV-song_1-372",1,0.04,0.140000000000009,2.463,3.425,1,"0.1_fm_am_11_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3,"frq:_3_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-372-1",NA,NA,NA,56.4954977348348,53.9605338404173,53.9779259690647,NA,NA,NA,-8.05318634690949,-23.2978541765779
"T2_HC_M2_P2_D30.WAV-song_6-372",1,0.04,0.140000000000009,2.463,3.425,30,"0.1_fm_am_11_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3,"frq:_3_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-372-1",0.120009708252699,0.869683166249141,8.90414663550166,52.9583854551598,-0.384249330376363,5.83059989386754,0.789078584392447,0.0641744186461995,0.929814975082609,6.36635187093122,-6.62989167951307
"T5_HC_M2_P2_D30.WAV-song_18-372",1,0.04,0.140000000000023,2.463,3.425,30,"0.1_fm_am_11_cr","short","no.fm","am","cr3","Costa-Rica_Manu",3,"frq:_3_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-372-1",0.209629421479657,0.72246002722283,11.4945890946389,53.3746635873893,8.27530695312941,11.108607865597,0.31598156137881,0.0872832243679262,-0.134267676150427,3.59242974647861,-6.95141951009651
"T7_HA_M2_P2_D30.WAV-song_26-372",1,0.04,0.140000000000009,2.463,3.425,30,"0.1_fm_am_11_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3,"frq:_3_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-372-1",0.133141176899676,0.898376025196963,5.27916988186317,54.5652221261308,16.5555445186746,17.7594486235529,0.815728892177815,0.113266707133217,0.947743436942762,-0.142133087733602,-15.6762544782777
"T8_HC_M2_P2_D30.WAV-song_30-372",1,0.04,0.139999999999994,2.463,3.425,30,"0.1_fm_am_11_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3,"frq:_3_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-372-1",0.150413886416875,0.846496159995801,11.2902733908919,53.0437632491975,4.89365400407423,8.80760021243445,0.682255714484624,0.0414091273321226,0.868444436138202,6.29783088646711,-1.50432571335175
"T0_HA_M3_P3_D01.WAV-song_1-373",1,0.04,0.139999999999994,2.995,3.559,1,"0.1_fm_am_12_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-373-1",NA,NA,NA,56.276253048676,18.2825535088593,19.2813510037095,NA,NA,NA,-11.2148724055299,-26.7720116425622
"T2_HC_M2_P2_D30.WAV-song_6-373",1,0.04,0.139999999999994,2.995,3.559,30,"0.1_fm_am_12_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-373-1",0.186552226586019,0.825008591112612,8.6309426280319,53.7303681883048,-11.7705738883081,1.9930042037726,0.865297630428469,0.0204720356741084,0.92049155950957,-4.83193903821262,-8.43342269802162
"T5_HC_M2_P2_D30.WAV-song_18-373",1,0.04,0.139999999999994,2.995,3.559,30,"0.1_fm_am_12_cr","short","no.fm","am","cr3","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-373-1",0.118357819987706,0.895266395622245,11.6208319048846,52.1896920555676,-6.10375041804305,3.49419669682584,0.573390066927137,0.0269769095092208,0.932124196782769,0.109689198717793,-6.79302272949158
"T7_HA_M2_P2_D30.WAV-song_26-373",1,0.04,0.139999999999994,2.995,3.559,30,"0.1_fm_am_12_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-373-1",0.0670613368890303,0.957770408878521,3.90097953123783,55.4933027536337,-5.19786433313935,3.80481820042074,0.886155614325432,0.0371359754809617,0.997314904496265,-0.83922512970055,-6.11769414435537
"T8_HC_M2_P2_D30.WAV-song_30-373",1,0.04,0.139999999999994,2.995,3.559,30,"0.1_fm_am_12_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-373-1",0.102092704928188,0.90910129707245,11.7807120164127,52.9498256691123,-7.32246849479045,3.10917598192284,0.818219353728525,0.011946851092398,0.962245257875922,-8.03641543722139,-7.82935984157455
"T0_HA_M3_P3_D01.WAV-song_1-374",1,0.04,0.140000000000009,2.917,4.098,1,"0.1_fm_am_13_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-374-1",NA,NA,NA,55.6785886816608,27.4248961567498,27.7867161814672,NA,NA,NA,-9.22520934265985,-29.9075032759601
"T2_HC_M2_P2_D30.WAV-song_6-374",1,0.04,0.140000000000009,2.917,4.098,30,"0.1_fm_am_13_cr","short","no.fm","am","cr1","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-374-1",0.127013963377198,0.795784331789008,10.9852345174201,51.1835416407783,-1.60512727170891,5.25506149797381,0.649832549529413,0.141566964097188,0.153876121301421,1.71875354104615,-7.13529035854048
"T5_HC_M2_P2_D30.WAV-song_18-374",1,0.04,0.139999999999994,2.917,4.098,30,"0.1_fm_am_13_cr","short","no.fm","am","cr3","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-374-1",0.13774702788536,0.82814090412074,12.0735524659517,51.1335343877622,-2.68177087464479,4.78280566364779,0.335759515342388,0.119137475581813,0.582007999266946,-3.05116844769925,-9.25713625171628
"T7_HA_M2_P2_D30.WAV-song_26-374",1,0.04,0.140000000000009,2.917,4.098,30,"0.1_fm_am_13_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-374-1",0.113964025443866,0.908035956182737,4.8059134398529,54.3738820244657,9.15088399078745,11.7492110648773,0.851861752384953,0.069407067375844,0.908598236570885,0.526646906889694,-14.3689835522111
"T8_HC_M2_P2_D30.WAV-song_30-374",1,0.04,0.140000000000023,2.917,4.098,30,"0.1_fm_am_13_cr","short","no.fm","am","cr2","Costa-Rica_Manu",3.5,"frq:_3.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-374-1",0.145550454036185,0.801090226875293,16.7595557066972,51.9862995468449,2.18649351814616,7.18246635977201,0.69600268084766,0.145832998278342,0.0732695753656208,0.674019836836967,-5.13369319228223
"T0_HA_M3_P3_D01.WAV-song_1-375",1,0.04,0.139999999999994,2.145,3.027,1,"0.1_fm_am_14_cr","short","no.fm","am","cr1","Costa-Rica_Manu",2.5,"frq:_2.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-375-1",NA,NA,NA,56.4140013041987,44.1836255059835,44.237118268452,NA,NA,NA,-5.85265582309835,-23.3008316477878
"T2_HC_M2_P2_D30.WAV-song_6-375",1,0.04,0.139999999999994,2.145,3.027,30,"0.1_fm_am_14_cr","short","no.fm","am","cr1","Costa-Rica_Manu",2.5,"frq:_2.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-375-1",0.12644436431211,0.821892906403274,7.08206914536767,53.4004910074834,15.8330146853601,17.1338905455257,0.800563604331834,0.039797218423623,0.685878777654377,6.13239159300162,-6.97321970643649
"T5_HC_M2_P2_D30.WAV-song_18-375",1,0.04,0.139999999999994,2.145,3.027,30,"0.1_fm_am_14_cr","short","no.fm","am","cr3","Costa-Rica_Manu",2.5,"frq:_2.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-375-1",0.162616219128248,0.880557656516761,10.5307357660438,52.9067250914212,18.068857536702,19.0911240691423,0.783315187099712,0.0930217034808432,0.364398831111328,12.8520504960542,-10.4228803185258
"T7_HA_M2_P2_D30.WAV-song_26-375",1,0.04,0.139999999999994,2.145,3.027,30,"0.1_fm_am_14_cr","short","no.fm","am","cr2","Costa-Rica_Manu",2.5,"frq:_2.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-375-1",0.197958021859964,0.834817883341438,6.29028658134293,54.3491570022301,18.2075889273632,19.214560893172,0.922805742646865,0.0529523883601169,0.76313664027352,-1.99754062497191,-17.6359718524772
"T8_HC_M2_P2_D30.WAV-song_30-375",1,0.04,0.139999999999994,2.145,3.027,30,"0.1_fm_am_14_cr","short","no.fm","am","cr2","Costa-Rica_Manu",2.5,"frq:_2.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-375-1",0.110401743289794,0.852145563026267,9.51970045940409,53.1336343406032,10.6045420379865,12.8497136358123,0.811988830095474,0.0169070678532686,0.900729634738484,0.608989318987724,-10.7367971476901
"T0_HA_M3_P3_D01.WAV-song_1-376",1,0.04,0.139999999999994,3.71,4.631,1,"0.1_fm_am_15_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-376-1",NA,NA,NA,57.193128469102,23.1991133132631,23.7802123763805,NA,NA,NA,-7.3387051709512,-26.3057096068182
"T2_HC_M2_P2_D30.WAV-song_6-376",1,0.04,0.139999999999994,3.71,4.631,30,"0.1_fm_am_15_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-376-1",0.122921606447118,0.882309241786865,9.73079122516875,53.7549261300577,NA,-0.181730500473685,0.793673602098687,0.0485157012597356,0.833189511579599,-8.89221634478709,-7.89610477575877
"T5_HC_M2_P2_D30.WAV-song_18-376",1,0.04,0.139999999999994,3.71,4.631,30,"0.1_fm_am_15_cr","short","no.fm","am","cr3","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-376-1",0.184640548281861,0.727203546139064,12.3065525753139,52.6856620147222,NA,-1.84047507855237,0.491935690585157,0.0228721047142178,0.35611585709796,-7.74543585084953,-5.76236115066017
"T7_HA_M2_P2_D30.WAV-song_26-376",1,0.04,0.139999999999994,3.71,4.631,30,"0.1_fm_am_15_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-376-1",0.247828284451751,0.695980349460272,7.3642457682288,54.6839224983289,6.32197782867844,9.74450107957135,0.831664394119401,0.139225809155805,0.21412889873598,-0.967147340612241,-13.6870995083895
"T8_HC_M2_P2_D30.WAV-song_30-376",1,0.04,0.139999999999994,3.71,4.631,30,"0.1_fm_am_15_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-376-1",0.153988307519762,0.842806361422477,15.8175628363749,53.1161347692756,NA,-2.76950654354625,0.682867958286178,0.102825872930511,0.674478127634094,2.82981517952159,-2.0909731752339
"T0_HA_M3_P3_D01.WAV-song_1-377",1,0.04,0.140000000000009,3.519,4.158,1,"0.1_fm_am_16_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-377-1",NA,NA,NA,56.3968525860323,27.2726507112595,27.640734906653,NA,NA,NA,-9.93162341078468,-27.3289801466946
"T2_HC_M2_P2_D30.WAV-song_6-377",1,0.04,0.140000000000009,3.519,4.158,30,"0.1_fm_am_16_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-377-1",0.123391578226888,0.890142669546129,6.61362009465286,53.9910482348533,-2.34021319868151,4.92907065507258,0.481527280692889,0.0161775078437711,0.976430444657112,0.0864229844596391,-6.23904232239853
"T5_HC_M2_P2_D30.WAV-song_18-377",1,0.04,0.140000000000023,3.519,4.158,30,"0.1_fm_am_16_cr","short","no.fm","am","cr3","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-377-1",0.22926250008195,0.684408847008854,11.9340398601808,52.9527396793908,-10.6298696766733,2.23940897704847,0.111172156846796,0.124544458508376,-0.464135875254583,6.16260945917129,-1.49566611757362
"T7_HA_M2_P2_D30.WAV-song_26-377",1,0.04,0.140000000000009,3.519,4.158,30,"0.1_fm_am_16_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-377-1",0.0651277987733415,0.963745060068844,3.90266486073111,54.7525396500646,12.5111393898451,14.3573637912361,0.86870757513619,0.045658021065666,0.880202248569561,-1.82109891375807,-16.9221968708823
"T8_HC_M2_P2_D30.WAV-song_30-377",1,0.04,0.139999999999994,3.519,4.158,30,"0.1_fm_am_16_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-377-1",0.149081741100414,0.852957080409967,10.527288454845,53.9927726105143,2.2863400304938,7.2387813710539,0.571886639390021,0.0664322811905231,0.561693079004028,2.26434453423417,-5.7042320650841
"T0_HA_M3_P3_D01.WAV-song_1-378",1,0.04,0.139999999999994,3.057,4.5,1,"0.1_fm_am_17_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-378-1",NA,NA,NA,56.5737879434627,30.0910427858043,30.3586845855807,NA,NA,NA,-9.02101184264354,-31.0121385856474
"T2_HC_M2_P2_D30.WAV-song_6-378",1,0.04,0.139999999999994,3.057,4.5,30,"0.1_fm_am_17_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-378-1",0.134422844998044,0.792520667019736,7.29331758372869,53.3571033570857,-0.282607383352063,5.88044554846951,0.724352816578564,0.103705687581329,0.914669783234551,1.35491428857254,-7.31678811488303
"T5_HC_M2_P2_D30.WAV-song_18-378",1,0.04,0.139999999999994,3.057,4.5,30,"0.1_fm_am_17_cr","short","no.fm","am","cr3","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-378-1",0.200506847649486,0.720357355529927,10.9208890549836,53.5605786328971,-2.23959083266024,4.97278811544728,0.476178851329094,0.163116775353248,0.695573490090343,5.68089064142003,-0.498693513557324
"T7_HA_M2_P2_D30.WAV-song_26-378",1,0.04,0.139999999999994,3.057,4.5,30,"0.1_fm_am_17_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-378-1",0.197240494798194,0.832473926701197,8.96895742507822,53.7045346484772,12.617146094884,14.4431718370364,0.763148277784386,0.106088343182108,0.754797407442589,1.725350735542,-13.2767161533437
"T8_HC_M2_P2_D30.WAV-song_30-378",1,0.04,0.139999999999994,3.057,4.5,30,"0.1_fm_am_17_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4,"frq:_4_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-378-1",0.211202473093134,0.699701210160535,17.1791404156152,52.1741381219525,4.35354274903339,8.46732348323804,0.747289609624812,0.180252856940644,0.625491260576379,1.34356823248394,-8.51062310498877
"T0_HA_M3_P3_D01.WAV-song_1-379",1,0.04,0.140000000000009,3.806,4.777,1,"0.1_fm_am_18_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4.5,"frq:_4.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-379-1",NA,NA,NA,57.6375931131549,27.8746474126343,28.2185659642774,NA,NA,NA,-7.40535016708318,-30.381768313333
"T2_HC_M2_P2_D30.WAV-song_6-379",1,0.04,0.140000000000009,3.806,4.777,30,"0.1_fm_am_18_cr","short","no.fm","am","cr1","Costa-Rica_Manu",4.5,"frq:_4.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-379-1",0.0968294978679733,0.893419700885763,9.69105747589327,53.7834309307939,-0.423862256970792,5.81125403220389,0.719097166703658,0.0309226138448692,0.844283257291211,-2.56555633681363,-9.3662262021596
"T5_HC_M2_P2_D30.WAV-song_18-379",1,0.04,0.139999999999994,3.806,4.777,30,"0.1_fm_am_18_cr","short","no.fm","am","cr3","Costa-Rica_Manu",4.5,"frq:_4.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-379-1",0.233549348579436,0.605915102295819,15.2256625426423,52.8393979431457,-12.3456130195065,1.87816514113638,0.254545718010289,0.0622691885262021,-0.318008029596287,5.74082529210272,-0.191754411384599
"T7_HA_M2_P2_D30.WAV-song_26-379",1,0.04,0.140000000000009,3.806,4.777,30,"0.1_fm_am_18_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4.5,"frq:_4.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-379-1",0.228754401925673,0.760769377017042,9.62339004872574,54.9046872089753,10.7674786547435,12.9758045551273,0.780587761651983,0.10347279298169,0.5396312768633,-1.86564851611457,-16.0434984917747
"T8_HC_M2_P2_D30.WAV-song_30-379",1,0.04,0.140000000000023,3.806,4.777,30,"0.1_fm_am_18_cr","short","no.fm","am","cr2","Costa-Rica_Manu",4.5,"frq:_4.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-379-1",0.117173659379476,0.875358202328929,15.1485524739573,53.3217316804143,-6.00828232539291,3.52593298490964,0.624213584429639,0.0549895367906474,0.699203291746569,-0.132411175172336,-6.69405501244855
"T0_HA_M3_P3_D01.WAV-song_1-380",1,0.04,0.139999999999994,6.624,7.777,1,"0.1_fm_am_19_cr","short","no.fm","am","cr1","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-380-1",NA,NA,NA,56.6006256028095,38.6568941096366,38.757691024971,NA,NA,NA,0.949765824685804,-28.92741278214
"T2_HC_M2_P2_D30.WAV-song_6-380",1,0.04,0.139999999999994,6.624,7.777,30,"0.1_fm_am_19_cr","short","no.fm","am","cr1","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-380-1",0.164094899211738,0.733437654269174,20.7974719528863,52.1697590637319,-0.443869113101557,5.80150039095856,0.581088686164859,0.103550832531025,0.869841792062815,1.0605140186624,-1.48668382184708
"T5_HC_M2_P2_D30.WAV-song_18-380",1,0.04,0.139999999999994,6.624,7.777,30,"0.1_fm_am_19_cr","short","no.fm","am","cr3","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-380-1",0.0549101733639731,0.95188934870717,38.0220611351043,52.4697194774118,-25.3725868550845,0.455765047869073,0.728699302815225,0.0564671997621856,0.988795534136965,3.76744910661379,1.06380477653144
"T7_HA_M2_P2_D30.WAV-song_26-380",1,0.04,0.139999999999994,6.624,7.777,30,"0.1_fm_am_19_cr","short","no.fm","am","cr2","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-380-1",0.0840058774023336,0.945666821738051,9.37265332485693,54.4978462454184,22.1482469387081,22.801336036736,0.901085030985194,0.0725332526264474,0.964044426028014,4.39043807163296,-21.1413206030904
"T8_HC_M2_P2_D30.WAV-song_30-380",1,0.04,0.139999999999994,6.624,7.777,30,"0.1_fm_am_19_cr","short","no.fm","am","cr2","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-380-1",0.188162519651398,0.716382222028078,33.9636893554583,53.5326371311347,3.53219131421795,7.96502133775454,0.746107990679023,0.0747920182787677,0.910360066831561,9.04497228464277,-0.468976032929849
"T0_HA_M3_P3_D01.WAV-song_1-363",1,0.04,0.139999999999994,6.229,7.751,1,"0.1_fm_am_2_cr","short","no.fm","am","cr1","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-363-1",NA,NA,NA,56.9652957699781,23.8524080754227,24.3926856639763,NA,NA,NA,0.0473293482782178,-23.5901688768933
"T2_HC_M2_P2_D30.WAV-song_6-363",1,0.04,0.139999999999994,6.229,7.751,30,"0.1_fm_am_2_cr","short","no.fm","am","cr1","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-363-1",0.193245338491791,0.715277799363738,42.8086450896006,53.2444478549146,-21.1916004760634,0.726034078650729,0.272849984995471,0.119180049905038,0.164236940552536,0.369218340743484,-0.651537789975551
"T5_HC_M2_P2_D30.WAV-song_18-363",1,0.04,0.139999999999994,6.229,7.751,30,"0.1_fm_am_2_cr","short","no.fm","am","cr3","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-363-1",0.168761634798843,0.85476984776002,27.3895847783261,52.1697796272452,-8.12467656355329,2.87548981793371,0.662176181183254,0.119057568775148,0.471429415615595,-0.132341278505547,-3.54440329695512
"T7_HA_M2_P2_D30.WAV-song_26-363",1,0.04,0.139999999999994,6.229,7.751,30,"0.1_fm_am_2_cr","short","no.fm","am","cr2","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-363-1",0.0800557727525884,0.96168274662212,12.0375946174322,54.300237937454,12.9832286282811,14.7410196765796,0.873534042972389,0.0863317916080463,0.863767383008077,4.30652579667191,-11.3363703666509
"T8_HC_M2_P2_D30.WAV-song_30-363",1,0.04,0.139999999999994,6.229,7.751,30,"0.1_fm_am_2_cr","short","no.fm","am","cr2","Costa-Rica_Manu",7,"frq:_7_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-363-1",0.206563580632429,0.756590011428417,30.761255882396,52.8938365444559,-19.3170229445755,0.892209820384925,0.616045974423665,0.100848195219065,0.429350267381068,1.07881078298149,-5.99607445949663
