"sound.files","selec","start","end","bottom.freq","top.freq","distance","signal.type","duration","frequency.modulation","amplitude.modulation","transect","site","frequency","treatment.replicates","reference","blur.ratio","envelope.correlation","excess.attenuation","SPL","signal.to.noise.ratio.t2","signal.to.noise.ratio","cross.correlation","spectral.blur.ratio","spectrum.correlation","tail.to.noise.ratio","tail.to.signal.ratio"
"T0_HA_M3_P3_D01.WAV-song_1-362",1,0.04,0.140000000000009,5.294,6.508,1,"0.1_fm_am_1_cr","short","no.fm","am","cr1","Costa-Rica_Manu",6,"frq:_6_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-362-1",NA,NA,NA,54.5263912068232,49.6909663669889,49.719381873857,NA,NA,NA,-16.4435379627617,-27.8914271611183
"T2_HC_M2_P2_D30.WAV-song_6-362",1,0.04,0.140000000000009,5.294,6.508,30,"0.1_fm_am_1_cr","short","no.fm","am","cr1","Costa-Rica_Manu",6,"frq:_6_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-362-1",0.113111828893991,0.886503607416395,38.1426822126456,48.4602066031575,4.80939189669392,8.75399963333765,0.434597588261059,0.0844126864807807,0.740310279557338,7.62060911372165,-0.576807839090118
"T5_HC_M2_P2_D30.WAV-song_18-362",1,0.04,0.140000000000023,5.294,6.508,30,"0.1_fm_am_1_cr","short","no.fm","am","cr3","Costa-Rica_Manu",6,"frq:_6_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-362-1",0.179776374769146,0.771629421484964,13.4158278027828,52.5125025380154,-26.2347703877211,0.413706248758018,0.49284803975781,0.105524631048981,0.418207160376836,1.60870706416346,-1.24872849329739
"T7_HA_M2_P2_D30.WAV-song_26-362",1,0.04,0.140000000000009,5.294,6.508,30,"0.1_fm_am_1_cr","short","no.fm","am","cr2","Costa-Rica_Manu",6,"frq:_6_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-362-1",0.114214184159659,0.920998299723223,4.12261091431079,53.5095376418543,21.8042485175757,22.4827171323337,0.878486795571824,0.0587611338831148,0.754619716040293,2.17575094481617,-13.0886602221341
"T8_HC_M2_P2_D30.WAV-song_30-362",1,0.04,0.139999999999994,5.294,6.508,30,"0.1_fm_am_1_cr","short","no.fm","am","cr2","Costa-Rica_Manu",6,"frq:_6_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-362-1",0.164500290513325,0.78260105770423,10.4900622018056,53.5996597519283,14.4825595443165,15.9843227082639,0.773030358371024,0.0663065462098385,0.0735283577060815,-4.46144261991648,-11.2823749640223
"T0_HA_M3_P3_D01.WAV-song_1-371",1,0.04,0.139999999999994,8.209,8.948,1,"0.1_fm_am_10_cr","short","no.fm","am","cr1","Costa-Rica_Manu",8.5,"frq:_8.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-371-1",NA,NA,NA,56.6244068759325,24.5541069704335,25.0536361702127,NA,NA,NA,-5.92345146784208,-27.9449165747196
"T2_HC_M2_P2_D30.WAV-song_6-371",1,0.04,0.139999999999994,8.209,8.948,30,"0.1_fm_am_10_cr","short","no.fm","am","cr1","Costa-Rica_Manu",8.5,"frq:_8.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-371-1",0.236196963257755,0.715325726126164,37.7992952805713,52.8832952117976,NA,-0.370038671620174,0.755451274646004,0.123972384542906,0.996135585956392,-0.70129015188594,-1.4312059389476
"T5_HC_M2_P2_D30.WAV-song_18-371",1,0.04,0.139999999999994,8.209,8.948,30,"0.1_fm_am_10_cr","short","no.fm","am","cr3","Costa-Rica_Manu",8.5,"frq:_8.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-371-1",0.142129763018885,0.855692356908289,67.864198310525,51.2398025605816,-12.2011117497279,1.90645253377308,0.695261710327228,0.106595187529732,0.97222323840681,2.43751015330819,-1.63314325862824
"T7_HA_M2_P2_D30.WAV-song_26-371",1,0.04,0.139999999999994,8.209,8.948,30,"0.1_fm_am_10_cr","short","no.fm","am","cr2","Costa-Rica_Manu",8.5,"frq:_8.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-371-1",0.0610525009964296,0.976389065904208,18.7238243101701,52.7181550087867,12.1170078193493,14.0400993190346,0.923704528344747,0.0233894114515642,0.987236834095055,0.78739906833048,-17.1911466050498
"T8_HC_M2_P2_D30.WAV-song_30-371",1,0.04,0.139999999999994,8.209,8.948,30,"0.1_fm_am_10_cr","short","no.fm","am","cr2","Costa-Rica_Manu",8.5,"frq:_8.5_dur:_short_am_no.fm","T0_HA_M3_P3_D01.WAV-song_1-371-1",0.195485275572581,0.766439905550236,55.3099449601617,50.1115421779659,-6.41277485897645,3.39305766552441,0.802207172882358,0.127599905880599,0.988378486764862,2.86448073026349,-3.60696021488101
