"file","org.sf","distance","format","sound","noise","SNR","TSR","blur_ratio","k","annotation_time","T_start","T_end","high_freq_bp","low_freq_bp","comments","TSR size","excess_attenuation","sound.files","source","SNR.bRlho","TSR.bRlho","blur_ratio.bRlho","excess_attenuation.bRlho"
"200303-010_100m","200303-007",10,"Full recording",2,1.4,34.6,-17.2,0.092,0.13,1899-12-31 00:09:00,1899-12-31 04:38:00,1899-12-31 04:47:00,7875,8805,NA,NA,40.4710832371978,"200303-007.wav_2","sigpro",14.6244621295283,-23.8164029199318,0.123079593800319,-2.56621788831865
"200303-010_100m","200303-007",10,"Full recording",3,7,28,NA,0.097,0.27,1899-12-31 00:08:00,1899-12-31 04:49:00,1899-12-31 04:57:00,3208,4069,NA,NA,25.8533330663419,"200303-007.wav_3","sigpro",17.9139504834738,-24.2895133604696,0.111794387706034,-9.19895890441894
"200303-010_100m","200303-007",10,"Full recording",4,13.4,19.9,NA,0.373,1.53,1899-12-31 00:11:00,1899-12-31 07:35:00,1899-12-31 07:46:00,422,1223,NA,NA,-8.83868804142022,"200303-007.wav_4","sigpro",14.4279302113024,-21.5991572383432,0.0884346835267789,-12.2780817799776
"200303-010_100m","200303-007",10,"Full recording",5,1,43.9,-29.9,0.039,0.29,1899-12-31 00:05:00,1899-12-31 07:48:00,1899-12-31 07:53:00,6905,7917,NA,NA,24.424153786699,"200303-007.wav_5","sigpro",18.4119687822643,-26.3487428802417,0.0962961711037083,-9.65962227198502
"200303-010_100m","200303-007",10,"Full recording",6,0.8,35.6,-24.1,0.173,0.042,1899-12-31 00:09:00,1899-12-31 08:01:00,1899-12-31 08:10:00,8417,9416,NA,NA,63.068379880642,"200303-007.wav_6","sigpro",13.513873588968,-24.1304087898734,0.25541006585894,-1.58985926593543
"200303-010_100m","200303-007",10,"Full recording",7,3.6,31.3,-22.8,NA,0.206,1899-12-31 00:09:00,1899-12-31 08:21:00,1899-12-31 08:30:00,4171,4839,NA,NA,31.2642488705178,"200303-007.wav_7","sigpro",19.7413183231891,-18.2071242318213,0.132624660126912,-7.10913534641
"200303-010_100m","200303-007",10,"Full recording",8,18.2,28.3,NA,0.02,0.21,1899-12-31 00:05:00,1899-12-31 08:47:00,1899-12-31 08:52:00,2097,2961,NA,NA,30.87962163196,"200303-007.wav_8","sigpro",19.2924892702659,-29.9381006959572,0.0756056490001826,-6.83113736089738
"200303-010_100m","200303-007",10,"Full recording",9,0.8,23.4,NA,0.347,0.019,1899-12-31 00:23:00,1899-12-31 08:52:00,1899-12-31 09:15:00,9181,10033,NA,NA,78.9329926629806,"200303-007.wav_9","sigpro",14.2194497592448,-25.6767875547349,0.150086499454842,5.47250734371923
"200303-010_100m","200303-007",10,"Full recording",10,6.5,32.3,NA,0.035,0.17,1899-12-31 00:13:00,1899-12-31 06:12:00,1899-12-31 06:25:00,1849,2506,NA,NA,35.1058035053042,"200303-007.wav_10","sigpro",20.7268979651422,-31.2141458146894,0.100533022017922,-3.68151470017532
"200303-010_100m","200303-007",10,"Full recording",11,1.3,36.7,-22.6,0.1,0.09,1899-12-31 00:06:00,1899-12-31 06:42:00,1899-12-31 06:48:00,5632,6830,NA,NA,47.8255788397041,"200303-007.wav_11","sigpro",17.9360767777109,-21.3384609778871,0.0899580095597735,-0.700941617248603
