"file","org.sf","distance","format","sound","noise","SNR","TSR","blur_ratio","k","annotation_time","T_start","T_end","high_freq_bp","low_freq_bp","comments","TSR size","excess_attenuation","sound.files","source","SNR.bRlho","TSR.bRlho","blur_ratio.bRlho","excess_attenuation.bRlho"
"200303-010_100m","200303-007",10,"Full recording",12,8.5,35.1,-30.9,0.039,0.113,1899-12-31 00:20:00,1899-12-31 07:16:00,1899-12-31 07:36:00,1474,2550,NA,NA,43.2740158720626,"200303-007.wav_12","sigpro",20.6511383287943,-29.7834555713775,0.0959895529479966,-1.06901452738691
"200303-010_100m","200303-007",10,"Full recording",13,2.3,19.2,NA,0.062,0.07,1899-12-31 00:20:00,1899-12-31 08:24:00,1899-12-31 08:44:00,9598,10233,NA,NA,52.8518674053222,"200303-007.wav_13","sigpro",13.1232330834091,-19.7180118634908,0.100218955704257,2.7811846229379
"200303-010_100m","200303-007",10,"Full recording",14,2.2,34.2,-27,0.06,0.07,1899-12-31 00:09:00,1899-12-31 09:28:00,1899-12-31 09:37:00,7317,8141,NA,NA,52.8518674053222,"200303-007.wav_14","sigpro",23.6409083745839,-27.7088804284716,0.0909685708562301,2.42672147288229
"200303-010_100m","200303-007",10,"Full recording",15,51,14.2,-22.7,0.148,0.13,1899-12-31 00:12:00,1899-12-31 09:58:00,1899-12-31 10:10:00,100,810,NA,NA,40.4710832371978,"200303-007.wav_15","sigpro",12.9538412754537,-14.7023867768607,0.136354935693008,-0.56840961340831
"200303-010_100m","200303-007",10,"Full recording",16,1.3,33.6,-19.5,0.015,0.115,1899-12-31 00:11:00,1899-12-31 10:10:00,1899-12-31 10:21:00,5396,6152,NA,NA,42.9231296790444,"200303-007.wav_16","sigpro",19.0013898788615,-19.0587320972582,0.123302856447894,-0.795891624464652
"200303-010_100m","200303-007",10,"Full recording",17,1.8,27.1,-24.2,0.046,0.74,1899-12-31 00:05:00,1899-12-31 10:21:00,1899-12-31 10:26:00,9435,10377,NA,NA,5.6887685223451,"200303-007.wav_17","sigpro",15.0899253437079,-28.8133266938038,0.0774740226678533,2.52370378852702
"200303-010_100m","200303-007",10,"Full recording",18,10.8,31.7,-34.6,0.03,0.107,1899-12-31 00:05:00,1899-12-31 10:26:00,1899-12-31 10:31:00,1230,2525,NA,NA,44.3651955570713,"200303-007.wav_18","sigpro",17.8281699613522,-29.6956445398069,0.0770178357966842,-0.964836501572261
"200303-010_100m","200303-007",10,"Full recording",19,23.1,27.9,NA,0.026,0.128,1899-12-31 00:06:00,1899-12-31 10:31:00,1899-12-31 10:37:00,836,1646,NA,NA,40.7811669679171,"200303-007.wav_19","sigpro",18.6732958839245,-24.6263900494121,0.0764185291079921,-2.3648274846305
"200303-010_100m","200303-007",10,"Full recording",20,3.7,29.4,-25.6,NA,0.083,1899-12-31 00:05:00,1899-12-31 10:37:00,1899-12-31 10:42:00,5718,7372,NA,NA,49.4449600903774,"200303-007.wav_20","sigpro",19.7774140696749,-23.3379008826864,0.0921955748328443,1.09988937331802
"200303-010_100m","200303-007",10,"Full recording",21,1.6,37.3,-17.6,0.12,0.075,1899-12-31 00:07:00,1899-12-31 10:42:00,1899-12-31 10:49:00,4792,5287,NA,NA,51.4720099755832,"200303-007.wav_21","sigpro",19.9096902086905,-21.0829161463023,0.134825137429861,0.596042696842254
"200303-010_100m","200303-009",30,"Full recording",2,1.4,26.8,-14.8,0.342,0.02,1899-12-31 00:19:00,1899-12-31 08:13:00,1899-12-31 08:32:00,7875,8805,NA,NA,78.1370118327008,"200303-009.wav_2","sigpro",13.2536712170379,-12.9266622880682,0.153685750015218,8.31572243837147
"200303-010_100m","200303-009",30,"Full recording",3,10.3,14.3,-12.6,0.323,0.049,1899-12-31 00:13:00,1899-12-31 08:32:00,1899-12-31 08:45:00,3208,4069,NA,NA,60.2152513415681,"200303-009.wav_3","sigpro",12.2052947042415,-10.9476549872846,0.132139165090975,-0.402018752522739
"200303-010_100m","200303-009",30,"Full recording",4,22.8,21.7,-4.9,0.315,0.045,1899-12-31 00:15:00,1899-12-31 08:45:00,1899-12-31 09:00:00,422,1223,NA,NA,61.9184075083743,"200303-009.wav_4","sigpro",9.07374332963549,-10.4150737631093,0.125370413866845,-9.08203964321584
"200303-010_100m","200303-009",30,"Full recording",5,2.9,19.9,-14.7,0.296,0.05,1899-12-31 00:10:00,1899-12-31 08:47:00,1899-12-31 08:57:00,6905,7917,NA,NA,59.8111971952177,"200303-009.wav_5","sigpro",8.16888022873938,-10.0511486522731,0.19614401320122,7.91899400091755
"200303-010_100m","200303-009",30,"Full recording",6,1.8,25,-16.4,0.239,0.066,1899-12-31 00:19:00,1899-12-31 08:47:00,1899-12-31 09:06:00,8417,9416,NA,NA,54.2585624632522,"200303-009.wav_6","sigpro",7.26761749050224,-6.55786153436271,0.181015746403089,12.012247498821
"200303-010_100m","200303-009",30,"Full recording",7,2.7,16,-11.8,0.292,0.39,1899-12-31 00:12:00,1899-12-31 09:06:00,1899-12-31 09:18:00,4171,4839,NA,NA,18.7287225213068,"200303-009.wav_7","sigpro",11.5619946781601,-7.70983908208443,0.148402160457465,4.68130335884592
"200303-010_100m","200303-009",30,"Full recording",8,6.1,24.5,-33.3,0.302,0.037,1899-12-31 00:14:00,1899-12-31 09:20:00,1899-12-31 09:34:00,2097,2961,NA,NA,65.8332990508962,"200303-009.wav_8","sigpro",11.5690633666339,-11.7656540664747,0.141911185534179,2.5986948708746
"200303-010_100m","200303-009",30,"Full recording",9,1.5,13.7,NA,0.309,0.013,1899-12-31 00:08:00,1899-12-31 07:35:00,1899-12-31 07:43:00,9181,10033,NA,NA,86.7526701545499,"200303-009.wav_9","sigpro",1.72459554321657,-8.20483542247185,0.179600434428085,17.0383604902539
"200303-010_100m","200303-009",30,"Full recording",10,5.4,12.2,-13.5,0.21,0.005,1899-12-31 00:06:00,1899-12-31 07:57:00,1899-12-31 08:03:00,1849,2506,NA,NA,105.862899055099,"200303-009.wav_10","sigpro",16.2648894298796,-3.85409203740266,0.130897389137739,4.42165278044021
"200303-010_100m","200303-009",30,"Full recording",11,2.2,27.2,-16,0.412,0.41,1899-12-31 00:11:00,1899-12-31 08:04:00,1899-12-31 08:15:00,5632,6830,NA,NA,17.7285141098136,"200303-009.wav_11","sigpro",8.07648615184036,-8.8327799402103,0.140001799574036,11.6837758533296
"200303-010_100m","200303-009",30,"Full recording",12,7.2,11.3,-15.3,0.269,0.26,1899-12-31 00:06:00,1899-12-31 08:16:00,1899-12-31 08:22:00,1474,2550,NA,NA,26.8380246834701,"200303-009.wav_12","sigpro",13.3248766854301,-13.804884025459,0.163404538832737,8.29003022725695
"200303-010_100m","200303-009",30,"Full recording",13,2.1,6.4,-16.6,0.386,0.04,1899-12-31 00:13:00,1899-12-31 01:52:00,1899-12-31 02:05:00,9598,10233,NA,NA,64.2740682215019,"200303-009.wav_13","sigpro",9.44767575290078,-9.41363089153865,0.109986554456049,15.5419320530369
"200303-010_100m","200303-009",30,"Full recording",14,1.7,17.7,-10.1,0.296,0.024,1899-12-31 00:22:00,1899-12-31 02:05:00,1899-12-31 02:27:00,7317,8141,NA,NA,74.4905806968218,"200303-009.wav_14","sigpro",14.9347831083117,-14.1047598443494,0.122317744589643,16.1669275521804
"200303-010_100m","200303-009",30,"Full recording",15,70.4,16.3,-8.3,0.434,0.16,1899-12-31 00:39:00,1899-12-31 02:52:00,1899-12-31 03:31:00,100,810,NA,NA,36.5481809991041,"200303-009.wav_15","sigpro",1.06894468299098,-7.7633450395599,0.186486422050633,-1.33486920734531
"200303-010_100m","200303-009",30,"Full recording",16,1.9,20.4,-1.9,0.325,0.02,1899-12-31 00:12:00,1899-12-31 04:40:00,1899-12-31 04:52:00,5396,6152,NA,NA,78.1370118327008,"200303-009.wav_16","sigpro",9.43144043403195,-7.88883859027289,0.162172651617992,14.2077237106238
"200303-010_100m","200303-009",30,"Full recording",17,3.2,8.1,NA,0.355,0.02,1899-12-31 00:24:00,1899-12-31 04:55:00,1899-12-31 05:19:00,9435,10377,NA,NA,78.1370118327008,"200303-009.wav_17","sigpro",9.92378502896558,-9.73464505833153,0.127992951331756,16.2390921568406
"200303-010_100m","200303-009",30,"Full recording",18,8.7,19.9,NA,0.232,0.042,1899-12-31 00:12:00,1899-12-31 05:20:00,1899-12-31 05:32:00,1230,2525,NA,NA,63.2982649381133,"200303-009.wav_18","sigpro",12.7316226798611,-16.9080177348478,0.129272984590513,6.81535778679138
"200303-010_100m","200303-009",30,"Full recording",19,15.3,21.3,NA,0.444,0.05,1899-12-31 00:14:00,1899-12-31 05:39:00,1899-12-31 05:53:00,836,1646,NA,NA,59.8111971952177,"200303-009.wav_19","sigpro",10.0743541455796,-16.4023769751547,0.124007285137789,2.14136799184494
"200303-010_100m","200303-009",30,"Full recording",20,2.6,17.3,-23.2,0.567,0.027,1899-12-31 00:10:00,1899-12-31 05:53:00,1899-12-31 06:03:00,5718,7372,NA,NA,72.1349199836941,"200303-009.wav_20","sigpro",7.87621017075358,-9.11460084106413,0.197366107461545,15.5626613261393
"200303-010_100m","200303-009",30,"Full recording",21,2.2,20.1,-15.1,0.367,0.03,1899-12-31 00:11:00,1899-12-31 06:42:00,1899-12-31 06:53:00,4792,5287,NA,NA,70.0277096705376,"200303-009.wav_21","sigpro",12.7024799708603,-11.3835510216647,0.154177273017124,11.634078026355
"200303-010_100m","200303-008",65,"Full recording",2,3.4,6.7,NA,0.159,0.012,1899-12-31 00:11:00,1899-12-31 11:36:00,1899-12-31 11:47:00,7875,8805,NA,NA,88.4100975838827,"200303-008.wav_2","sigpro",-5.53005906191514,16.7910283691666,0.272748933822571,14.7397233034743
"200303-010_100m","200303-008",65,"Full recording",3,8.8,6.9,NA,0.199,0.03,1899-12-31 00:08:00,1899-12-31 02:18:00,1899-12-31 02:26:00,3208,4069,NA,NA,70.0842829463996,"200303-008.wav_3","sigpro",1.1193732986423,2.60736475417433,0.255286717486085,4.97926440518715
"200303-010_100m","200303-008",65,"Full recording",4,26.5,11.6,-16.8,0.229,0.117,1899-12-31 00:23:00,1899-12-31 02:18:00,1899-12-31 02:41:00,422,1223,NA,NA,42.8647518836876,"200303-008.wav_4","sigpro",-1.92445265537566,-2.36858139804419,0.191251083653531,-6.60875711687087
"200303-010_100m","200303-008",65,"Full recording",5,2.9,6.9,-5.5,0.318,0.008,1899-12-31 00:11:00,1899-12-31 02:41:00,1899-12-31 02:52:00,6905,7917,NA,NA,96.519399746046,"200303-008.wav_5","sigpro",-8.43558217068395,-2.31266806934585,0.278673474070088,-0.228862863855475
"200303-010_100m","200303-008",65,"Full recording",6,2.5,1.5,NA,0.329,0.006,1899-12-31 00:05:00,1899-12-31 02:54:00,1899-12-31 02:59:00,8417,9416,NA,NA,102.273041195082,"200303-008.wav_6","sigpro",3.69047807134326,12.7413281811428,0.258318419837901,3.68824087110055
"200303-010_100m","200303-008",65,"Full recording",7,6.9,2.7,NA,0.259,0.03,1899-12-31 00:08:00,1899-12-31 02:59:00,1899-12-31 03:07:00,4171,4839,NA,NA,70.0842829463996,"200303-008.wav_7","sigpro",-2.78617652135154,-4.19574250745295,0.267177010136445,-4.56953601795963
"200303-010_100m","200303-008",65,"Full recording",8,11.5,3.7,-8.4,0.338,0.007,1899-12-31 00:09:00,1899-12-31 03:38:00,1899-12-31 03:47:00,2097,2961,NA,NA,99.1900275985365,"200303-008.wav_8","sigpro",2.8301064625542,-2.0000929689596,0.273247180342613,4.48860885579622
"200303-010_100m","200303-008",65,"Full recording",9,1.7,5,-7.9,0.241,0.013,1899-12-31 00:09:00,1899-12-31 03:47:00,1899-12-31 03:56:00,9181,10033,NA,NA,86.809243430412,"200303-008.wav_9","sigpro",1.35845097577965,-0.888730110698367,0.248266215932254,1.22608560081307
"200303-010_100m","200303-008",65,"Full recording",10,9.3,17.5,-23,0.153,0.018,1899-12-31 00:09:00,1899-12-31 03:56:00,1899-12-31 04:05:00,1849,2506,NA,NA,80.3007954217194,"200303-008.wav_10","sigpro",12.0051227669591,-10.6351905261865,0.181259222087575,8.01496117564007
"200303-010_100m","200303-008",65,"Full recording",11,2.8,16.4,NA,0.254,0.02,1899-12-31 00:06:00,1899-12-31 04:05:00,1899-12-31 04:11:00,5632,6830,NA,NA,78.1935851085629,"200303-008.wav_11","sigpro",3.0359869610695,-8.48720213079911,0.319740708157368,0.273725083109767
"200303-010_100m","200303-008",65,"Full recording",12,16.3,14,NA,0.354,0.005,1899-12-31 00:06:00,1899-12-31 04:14:00,1899-12-31 04:20:00,1474,2550,NA,NA,105.919472330961,"200303-008.wav_12","sigpro",9.1606058801176,-9.82433810425872,0.209997746482648,10.3626876062984
"200303-010_100m","200303-008",65,"Full recording",13,1.2,7,NA,0.181,0.01,1899-12-31 00:05:00,1899-12-31 04:20:00,1899-12-31 04:25:00,9598,10233,NA,NA,92.0565287197618,"200303-008.wav_13","sigpro",2.60999679324816,0.580181175396678,0.270122191936755,20.1437238926415
"200303-010_100m","200303-008",65,"Full recording",14,2.2,7.1,NA,0.248,0.004,1899-12-31 00:04:00,1899-12-31 04:25:00,1899-12-31 04:29:00,7317,8141,NA,NA,110.382343357245,"200303-008.wav_14","sigpro",-1.27012122259576,-2.11061439316833,0.172332621185315,26.3483653470745
"200303-010_100m","200303-008",65,"Full recording",15,38.7,8.2,NA,0.37,0.168,1899-12-31 00:09:00,1899-12-31 04:29:00,1899-12-31 04:38:00,100,810,NA,NA,35.6289509915776,"200303-008.wav_15","sigpro",1.32874460534722,1.79317847741302,0.294594783390475,0.801056469060164
"200303-010_100m","200303-008",65,"Full recording",16,3.3,13,-25.1,0.21,0.01,1899-12-31 00:07:00,1899-12-31 04:39:00,1899-12-31 04:46:00,5396,6152,NA,NA,92.0565287197618,"200303-008.wav_16","sigpro",3.38703251970667,-2.36365614282032,0.174664684811094,19.8195709194887
"200303-010_100m","200303-008",65,"Full recording",17,1.5,4.4,NA,0.284,0.003,1899-12-31 00:08:00,1899-12-31 04:46:00,1899-12-31 04:54:00,9435,10377,NA,NA,116.135984806281,"200303-008.wav_17","sigpro",0.577996404894279,-3.72146685764005,0.20236978380279,20.0178156914682
"200303-010_100m","200303-008",65,"Full recording",18,16.7,9.7,NA,0.116,0.014,1899-12-31 00:09:00,1899-12-31 05:06:00,1899-12-31 05:15:00,1230,2525,NA,NA,85.3270839873376,"200303-008.wav_18","sigpro",9.61471808788939,-7.12916110453603,0.166564738485519,12.0518459290961
"200303-010_100m","200303-008",65,"Full recording",19,25.5,12.8,-25.9,0.099,0.024,1899-12-31 00:05:00,1899-12-31 05:16:00,1899-12-31 05:21:00,836,1646,"not reliable (probably the wrong sound)",NA,74.5471539726838,"200303-008.wav_19","sigpro",6.89494726535876,-3.22423622677509,0.1671982793801,9.35057951171147
"200303-010_100m","200303-008",65,"Full recording",20,2.6,7.8,-18.5,0.187,0.004,1899-12-31 00:09:00,1899-12-31 05:21:00,1899-12-31 05:30:00,5718,7372,NA,NA,110.382343357245,"200303-008.wav_20","sigpro",6.07991648181797,2.64928168853448,0.307146322587123,12.0323525730189
"200303-010_100m","200303-008",65,"Full recording",21,3.1,10.7,-12.5,0.314,0.012,1899-12-31 00:05:00,1899-12-31 05:30:00,1899-12-31 05:35:00,4792,5287,NA,NA,88.4100975838827,"200303-008.wav_21","sigpro",-1.70620296120885,-0.355322384340521,0.272368549494794,18.9730735174954
"200303-010_100m","200303-010",100,"Full recording",2,2.1,8.9,-22,0.333,0.01,1899-12-31 00:13:00,1899-12-31 07:24:00,1899-12-31 07:37:00,7875,8805,NA,NA,92.0731006894588,"200303-010.wav_2","sigpro",-1.51481036865134,-2.8420828020748,0.29433165662581,4.17003915118756
"200303-010_100m","200303-010",100,"Full recording",3,4.6,15.1,-10.1,0.429,0.016,1899-12-31 00:09:00,1899-12-31 07:38:00,1899-12-31 07:47:00,3208,4069,NA,NA,82.6730281045441,"200303-010.wav_3","sigpro",1.39458882322291,-4.84240769505014,0.302787591727089,-4.68191017188396
"200303-010_100m","200303-010",100,"Full recording",4,27.9,20.7,NA,0.309,0.403,1899-12-31 00:07:00,1899-12-31 07:47:00,1899-12-31 07:54:00,422,1223,NA,NA,18.1460713104061,"200303-010.wav_4","sigpro",2.43462573507393,1.46355968478204,0.163644834355106,-10.8444661170875
"200303-010_100m","200303-010",100,"Full recording",5,3.7,9.5,NA,0.36,0.035,1899-12-31 00:11:00,1899-12-31 08:39:00,1899-12-31 08:50:00,6905,7917,NA,NA,67.0178413195514,"200303-010.wav_5","sigpro",1.75820947628978,-3.62465040866301,0.279777431227511,2.44285503801032
"200303-010_100m","200303-010",100,"Full recording",6,2.8,15.3,NA,0.448,0.02,1899-12-31 00:07:00,1899-12-31 08:51:00,1899-12-31 08:58:00,8417,9416,NA,NA,78.2101570782599,"200303-010.wav_6","sigpro",-0.0252808185714719,-1.50971977721329,0.217912872238269,4.23460502889125
"200303-010_100m","200303-010",100,"Full recording",7,8.2,-2.7,NA,0.433,0.008,1899-12-31 00:25:00,1899-12-31 09:16:00,1899-12-31 09:41:00,4171,4839,NA,NA,96.535971715743,"200303-010.wav_7","sigpro",0.334826560438247,0.94621876766044,0.249061710828205,-1.24592462238297
"200303-010_100m","200303-010",100,"Full recording",8,8,17.4,NA,0.183,0.009,1899-12-31 00:07:00,1899-12-31 11:14:00,1899-12-31 11:21:00,2097,2961,NA,NA,94.1803110026153,"200303-010.wav_8","sigpro",0.601900298263435,-4.56506007023146,0.297252916726499,3.16605033181175
"200303-010_100m","200303-010",100,"Full recording",9,2.6,4,-14.3,0.377,0.02,1899-12-31 00:10:00,1899-12-31 11:46:00,1899-12-31 11:56:00,9181,10033,NA,NA,78.2101570782599,"200303-010.wav_9","sigpro",2.34742829321504,2.69148862377939,0.223013258556571,8.51882200773786
"200303-010_100m","200303-010",100,"Full recording",10,9.8,16.8,-10.6,0.432,0.036,1899-12-31 00:11:00,1899-12-31 11:58:00,1899-12-31 12:09:00,1849,2506,NA,NA,66.4544237802175,"200303-010.wav_10","sigpro",6.92712640511473,-4.86411065544627,0.203095059404604,4.29854169982833
"200303-010_100m","200303-010",100,"Full recording",11,1.8,24.9,-15,0.296,0.006,1899-12-31 00:06:00,1899-12-31 12:17:00,1899-12-31 12:23:00,5632,6830,NA,NA,102.289613164779,"200303-010.wav_11","sigpro",-3.22431220657067,-0.837537389791281,0.224693858844676,3.06270795450368
"200303-010_100m","200303-010",100,"Full recording",12,9.1,21.2,NA,0.338,0.025,1899-12-31 00:12:00,1899-12-31 12:26:00,1899-12-31 12:38:00,1474,2550,NA,NA,73.7472860519757,"200303-010.wav_12","sigpro",1.61412611113722,-2.69008710864618,0.209592153981684,5.56144235118521
"200303-010_100m","200303-010",100,"Full recording",13,1.2,8,NA,0.332,0.016,1899-12-31 00:07:00,1899-12-31 01:00:00,1899-12-31 01:07:00,9598,10233,NA,NA,82.6730281045441,"200303-010.wav_13","sigpro",2.47724284696885,0.81389716997676,0.245885745122461,9.2816510371418
"200303-010_100m","200303-010",100,"Full recording",14,2.7,9.7,-14.7,0.309,0.004,1899-12-31 00:17:00,1899-12-31 01:08:00,1899-12-31 01:25:00,7317,8141,NA,NA,110.398915326942,"200303-010.wav_14","sigpro",2.4849885179834,-0.501037729609501,0.222349736382563,13.7695718365716
"200303-010_100m","200303-010",100,"Full recording",15,41.1,24.3,NA,0.43,0.144,1899-12-31 00:10:00,1899-12-31 01:25:00,1899-12-31 01:35:00,100,810,NA,NA,38.7285365578197,"200303-010.wav_15","sigpro",-0.517808785365491,1.11643113845235,0.344489334308782,-8.81357614114471
"200303-010_100m","200303-010",100,"Full recording",16,1.9,5,NA,0.322,0.004,1899-12-31 00:12:00,1899-12-31 01:36:00,1899-12-31 01:48:00,5396,6152,NA,NA,110.398915326942,"200303-010.wav_16","sigpro",0.246595428885054,5.3219172895758,0.268120660865225,7.16157532179448
"200303-010_100m","200303-010",100,"Full recording",17,1.3,16,-10.7,0.343,0.016,1899-12-31 00:11:00,1899-12-31 01:48:00,1899-12-31 01:59:00,9435,10377,NA,NA,82.6730281045441,"200303-010.wav_17","sigpro",1.3226952082269,2.43968012030008,0.18806980924801,10.3397294814898
"200303-010_100m","200303-010",100,"Full recording",18,10.8,19.8,-6.9,0.365,0.024,1899-12-31 00:09:00,1899-12-31 02:00:00,1899-12-31 02:09:00,1230,2525,NA,NA,74.5637259423808,"200303-010.wav_18","sigpro",3.94326243955389,0.0197708608260243,0.160089154739022,4.61779543962233
"200303-010_100m","200303-010",100,"Full recording",19,17.1,14.2,NA,0.341,0.025,1899-12-31 00:08:00,1899-12-31 02:09:00,1899-12-31 02:17:00,836,1646,NA,NA,73.7472860519757,"200303-010.wav_19","sigpro",2.99882490391644,0.160279449896678,0.22408820388282,3.41478975216577
"200303-010_100m","200303-010",100,"Full recording",20,2,11,NA,0.36,0.005,1899-12-31 00:10:00,1899-12-31 02:17:00,1899-12-31 02:27:00,5718,7372,NA,NA,105.936044300658,"200303-010.wav_20","sigpro",1.06758644765575,0.139544201809389,0.23086489527286,8.53449144467706
"200303-010_100m","200303-010",100,"Full recording",21,2.3,12.6,NA,0.298,0.006,1899-12-31 00:05:00,1899-12-31 02:28:00,1899-12-31 02:33:00,4792,5287,NA,NA,102.289613164779,"200303-010.wav_21","sigpro",3.35194919591503,0.128656835959561,0.330616734861289,7.93084403835394
"200303-010_100m","200303-007",10,"Clips",2,1,38.1,-28.4,0.103,0.13,1899-12-31 00:04:00,1899-12-31 11:39:00,1899-12-31 11:43:00,7875,8805,NA,1800,40.4710832371978,"200303-007.wav_2","sigpro",14.6244621295283,-23.8164029199318,0.123079593800319,-2.56621788831865
"200303-010_100m","200303-007",10,"Clips",3,2.9,35.6,-27.5,0.095,0.279,1899-12-31 00:02:00,1899-12-31 11:44:00,1899-12-31 11:46:00,3208,4069,NA,1800,25.1975366098821,"200303-007.wav_3","sigpro",17.9139504834738,-24.2895133604696,0.111794387706034,-9.19895890441894
"200303-010_100m","200303-007",10,"Clips",4,39.7,20.8,-30.1,0.06,0.402,1899-12-31 00:03:00,1899-12-31 11:47:00,1899-12-31 11:50:00,422,1223,NA,1800,17.892730473929,"200303-007.wav_4","sigpro",14.4279302113024,-21.5991572383432,0.0884346835267789,-12.2780817799776
"200303-010_100m","200303-007",10,"Clips",5,1.2,42.2,-34.2,0.055,0.297,1899-12-31 00:03:00,1899-12-31 12:31:00,1899-12-31 12:34:00,6905,7917,NA,1800,23.9471294702554,"200303-007.wav_5","sigpro",18.4119687822643,-26.3487428802417,0.0962961711037083,-9.65962227198502
"200303-010_100m","200303-007",10,"Clips",6,1.1,32.9,-27.4,0.288,0.099,1899-12-31 00:04:00,1899-12-31 12:35:00,1899-12-31 12:39:00,8417,9416,NA,1800,45.9193752436176,"200303-007.wav_6","sigpro",13.513873588968,-24.1304087898734,0.25541006585894,-1.58985926593543
"200303-010_100m","200303-007",10,"Clips",7,2.3,35.2,-23.3,0.127,0.205,1899-12-31 00:03:00,1899-12-31 12:39:00,1899-12-31 12:42:00,4171,4839,NA,1800,31.3615726635412,"200303-007.wav_7","sigpro",19.7413183231891,-18.2071242318213,0.132624660126912,-7.10913534641
"200303-010_100m","200303-007",10,"Clips",8,4.7,40,-34.4,0.036,0.209,1899-12-31 00:03:00,1899-12-31 12:42:00,1899-12-31 12:45:00,2097,2961,NA,1800,30.9750872070132,"200303-007.wav_8","sigpro",19.2924892702659,-29.9381006959572,0.0756056490001826,-6.83113736089738
"200303-010_100m","200303-007",10,"Clips",9,1.1,28.2,-27.8,0.155,0.049,1899-12-31 00:04:00,1899-12-31 12:45:00,1899-12-31 12:49:00,9181,10033,"MARKER 380",1800,59.9853662840969,"200303-007.wav_9","sigpro",14.2194497592448,-25.6767875547349,0.150086499454842,5.47250734371923
"200303-010_100m","200303-007",10,"Clips",10,5.3,40.7,-33.1,0.057,0.157,1899-12-31 00:02:00,1899-12-31 12:49:00,1899-12-31 12:51:00,1849,2506,NA,1800,36.6968561393432,"200303-007.wav_10","sigpro",20.7268979651422,-31.2141458146894,0.100533022017922,-3.68151470017532
"200303-010_100m","200303-007",10,"Clips",11,1.1,37.8,-26.5,0.065,0.104,1899-12-31 00:06:00,1899-12-31 12:57:00,1899-12-31 13:03:00,5632,6830,NA,1800,44.933954263482,"200303-007.wav_11","sigpro",17.9360767777109,-21.3384609778871,0.0899580095597735,-0.700941617248603
