"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-018.wav_733",1,0.04,0.140022675736994,9.598,15.3495,"0.1_BB_am_harm.wav_12","simulations",NA,"0.1_BB_am_harm.wav_12",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_12","200303-000.wav_733-1",0.887843117113872
"200303-019.wav_733",1,0.04,0.140022675736994,9.598,15.3495,"0.1_BB_am_harm.wav_12","simulations",NA,"0.1_BB_am_harm.wav_12",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_12","200303-000.wav_733-1",0.962023403460123
"200303-024.wav_733",1,0.04,0.140022675737023,9.598,15.3495,"0.1_BB_am_harm.wav_12","simulations",NA,"0.1_BB_am_harm.wav_12",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_12","200303-000.wav_733-1",1.02561164112379
"200303-025.wav_733",1,0.04,0.140022675736994,9.598,15.3495,"0.1_BB_am_harm.wav_12","simulations",NA,"0.1_BB_am_harm.wav_12",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_12","200303-000.wav_733-1",0.929800221100361
"200303-004.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.21286003009801
"200303-008.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.11900391840308
"200303-018.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.07991804050753
"200303-019.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.15281727156013
"200303-024.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.21604263184674
"200303-025.wav_734",1,0.04,0.140022675737023,7.317,12.2115,"0.1_BB_am_harm.wav_13","simulations",NA,"0.1_BB_am_harm.wav_13",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_13","200303-000.wav_734-1",1.10226190923241
"200303-004.wav_735",1,0.04,0.140022675737023,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",1.02941716557769
"200303-008.wav_735",1,0.04,0.140022675736994,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",0.838089719736068
"200303-018.wav_735",1,0.04,0.140022675736994,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",0.976770335462521
"200303-019.wav_735",1,0.04,0.140022675736994,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",0.941322439281748
"200303-024.wav_735",1,0.04,0.140022675736966,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",1.02404494509726
"200303-025.wav_735",1,0.04,0.140022675736994,0.1,1.215,"0.1_BB_am_harm.wav_14","simulations",NA,"0.1_BB_am_harm.wav_14",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_14","200303-000.wav_735-1",1.04990533772008
"200303-004.wav_736",1,0.04,0.140022675736966,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.15691086484145
"200303-008.wav_736",1,0.04,0.140022675736994,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.12492627089246
"200303-018.wav_736",1,0.04,0.140022675736994,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.04559528862342
"200303-019.wav_736",1,0.04,0.140022675736994,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.11473101270812
"200303-024.wav_736",1,0.04,0.140022675737023,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.15183580491157
"200303-025.wav_736",1,0.04,0.140022675736994,5.396,9.228,"0.1_BB_am_harm.wav_15","simulations",NA,"0.1_BB_am_harm.wav_15",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_15","200303-000.wav_736-1",1.0845183241385
"200303-004.wav_737",1,0.04,0.140022675737023,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",1.09152731944027
"200303-008.wav_737",1,0.04,0.140022675736994,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",1.05458915889384
