"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","spectral.correlation"
"200303-006.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.932270578650427
"200303-006.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.25400830651892
"200303-006.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.432873510110887
"200303-006.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.983070024780596
"200303-006.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.979156658650251
"200303-006.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.910944051422728
"200303-006.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.93720777849514
"200303-006.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.853921124618513
"200303-006.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.792847499619759
"200303-006.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.883989058959551
"200303-006.wav_12",1,0.04,0.240022675736975,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.887386449276531
"200303-006.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.720769774305964
"200303-006.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_13","200303-000.wav_14-1",0.772682575672594
"200303-006.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_14","200303-000.wav_15-1",0.785896703471328
"200303-006.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_15","200303-000.wav_16-1",0.731231017361511
"200303-006.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_16","200303-000.wav_17-1",0.892870027505537
"200303-006.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_17","200303-000.wav_18-1",0.906009181932327
"200303-006.wav_19",1,0.04,0.240022675736975,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_18","200303-000.wav_19-1",0.926122145863731
"200303-006.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_19","200303-000.wav_20-1",0.943226380345344
"200303-006.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_20","200303-000.wav_21-1",0.702260866801246
"200303-006.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_21","200303-000.wav_22-1",0.949847501030318
"200303-006.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_22","200303-000.wav_23-1",0.958772611179055
"200303-006.wav_24",1,0.04,0.240022675736953,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_23","200303-000.wav_24-1",0.840993625631809
"200303-006.wav_25",1,0.04,0.240022675736967,3.654,5,"0.2_BB_am_no.harm.wav_24","simulations",NA,"0.2_BB_am_no.harm.wav_24",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_24","200303-000.wav_25-1",0.747221007877322
"200303-006.wav_26",1,0.04,0.240022675736975,8.5,9.652,"0.2_BB_am_no.harm.wav_25","simulations",NA,"0.2_BB_am_no.harm.wav_25",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_25","200303-000.wav_26-1",0.81233154629984
"200303-006.wav_27",1,0.04,0.24002267573696,4.933,6.011,"0.2_BB_am_no.harm.wav_26","simulations",NA,"0.2_BB_am_no.harm.wav_26",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_26","200303-000.wav_27-1",0.740983163951157
"200303-006.wav_28",1,0.04,0.24002267573696,9.013,10.015,"0.2_BB_am_no.harm.wav_27","simulations",NA,"0.2_BB_am_no.harm.wav_27",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_27","200303-000.wav_28-1",0.862937681170999
"200303-006.wav_29",1,0.04,0.240022675736953,3.624,4.12,"0.2_BB_am_no.harm.wav_28","simulations",NA,"0.2_BB_am_no.harm.wav_28",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_28","200303-000.wav_29-1",0.764911233979256
"200303-006.wav_30",1,0.04,0.24002267573696,5.027,5.695,"0.2_BB_am_no.harm.wav_29","simulations",NA,"0.2_BB_am_no.harm.wav_29",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_29","200303-000.wav_30-1",0.783627458433606
"200303-006.wav_31",1,0.04,0.24002267573696,4.788,5.593,"0.2_BB_am_no.harm.wav_30","simulations",NA,"0.2_BB_am_no.harm.wav_30",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_30","200303-000.wav_31-1",0.910930455940994
"200303-006.wav_32",1,0.04,0.240022675736967,8.076,9.5,"0.2_BB_am_no.harm.wav_31","simulations",NA,"0.2_BB_am_no.harm.wav_31",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_31","200303-000.wav_32-1",0.944968764489864
"200303-006.wav_33",1,0.04,0.240022675737003,3.158,4.333,"0.2_BB_am_no.harm.wav_32","simulations",NA,"0.2_BB_am_no.harm.wav_32",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_32","200303-000.wav_33-1",0.91478600361979
"200303-006.wav_34",1,0.04,0.240022675736903,5.941,7.32,"0.2_BB_am_no.harm.wav_33","simulations",NA,"0.2_BB_am_no.harm.wav_33",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_33","200303-000.wav_34-1",0.902870230102754
"200303-006.wav_35",1,0.04,0.240022675737003,6.838,7.5,"0.2_BB_am_no.harm.wav_34","simulations",NA,"0.2_BB_am_no.harm.wav_34",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_34","200303-000.wav_35-1",0.971675065069475
"200303-006.wav_36",1,0.04,0.240022675737003,2.66,3.141,"0.2_BB_am_no.harm.wav_35","simulations",NA,"0.2_BB_am_no.harm.wav_35",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_35","200303-000.wav_36-1",0.878854976863804
"200303-006.wav_37",1,0.04,0.240022675736903,1,2.164,"0.2_BB_am_no.harm.wav_36","simulations",NA,"0.2_BB_am_no.harm.wav_36",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_36","200303-000.wav_37-1",0.934639734062509
"200303-006.wav_38",1,0.04,0.240022675737003,2.077,2.5,"0.2_BB_am_no.harm.wav_37","simulations",NA,"0.2_BB_am_no.harm.wav_37",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_37","200303-000.wav_38-1",0.899795386672109
"200303-006.wav_39",1,0.04,0.240022675736896,6.752,7.606,"0.2_BB_am_no.harm.wav_38","simulations",NA,"0.2_BB_am_no.harm.wav_38",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_38","200303-000.wav_39-1",0.953188322234135
"200303-006.wav_40",1,0.04,0.240022675736996,0.5,1.555,"0.2_BB_am_no.harm.wav_39","simulations",NA,"0.2_BB_am_no.harm.wav_39",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_39","200303-000.wav_40-1",0.937060779140702
"200303-006.wav_41",1,0.04,0.240022675736996,4.209,4.815,"0.2_BB_am_no.harm.wav_40","simulations",NA,"0.2_BB_am_no.harm.wav_40",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_40","200303-000.wav_41-1",0.8418128769312
"200303-006.wav_42",1,0.04,0.240022675736896,5.764,6.869,"0.2_BB_am_no.harm.wav_41","simulations",NA,"0.2_BB_am_no.harm.wav_41",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_41","200303-000.wav_42-1",0.943645035226193
"200303-006.wav_43",1,0.04,0.240022675736996,7.989,9.542,"0.2_BB_am_no.harm.wav_42","simulations",NA,"0.2_BB_am_no.harm.wav_42",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_42","200303-000.wav_43-1",0.747887792816344
"200303-006.wav_44",1,0.04,0.240022675736896,5.973,6.905,"0.2_BB_am_no.harm.wav_43","simulations",NA,"0.2_BB_am_no.harm.wav_43",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_43","200303-000.wav_44-1",0.937588699022973
"200303-006.wav_45",1,0.04,0.240022675736996,3.013,3.733,"0.2_BB_am_no.harm.wav_44","simulations",NA,"0.2_BB_am_no.harm.wav_44",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_44","200303-000.wav_45-1",0.835605699518686
"200303-006.wav_46",1,0.04,0.240022675736996,9.733,10.857,"0.2_BB_am_no.harm.wav_45","simulations",NA,"0.2_BB_am_no.harm.wav_45",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_45","200303-000.wav_46-1",0.812555103597599
"200303-006.wav_47",1,0.04,0.240022675736896,8.284,9.321,"0.2_BB_am_no.harm.wav_46","simulations",NA,"0.2_BB_am_no.harm.wav_46",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_46","200303-000.wav_47-1",0.716281603539943
"200303-006.wav_48",1,0.04,0.240022675736996,8,8.539,"0.2_BB_am_no.harm.wav_47","simulations",NA,"0.2_BB_am_no.harm.wav_47",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_47","200303-000.wav_48-1",0.882076087992833
"200303-006.wav_49",1,0.04,0.240022675736996,2.366,3.388,"0.2_BB_am_no.harm.wav_48","simulations",NA,"0.2_BB_am_no.harm.wav_48",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_48","200303-000.wav_49-1",0.916390719685961
"200303-006.wav_50",1,0.04,0.240022675737003,1.048,2.28,"0.2_BB_am_no.harm.wav_49","simulations",NA,"0.2_BB_am_no.harm.wav_49",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_49","200303-000.wav_50-1",0.976688632214631
"200303-006.wav_51",1,0.04,0.240022675737003,7.427,8.24,"0.2_BB_am_no.harm.wav_50","simulations",NA,"0.2_BB_am_no.harm.wav_50",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_50","200303-000.wav_51-1",0.953567569148054
"200303-006.wav_52",1,0.04,0.240022675736903,1.396,2.385,"0.2_BB_am_no.harm.wav_51","simulations",NA,"0.2_BB_am_no.harm.wav_51",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_51","200303-000.wav_52-1",0.689204734734751
"200303-006.wav_53",1,0.04,0.240022675737003,3.882,5.129,"0.2_BB_am_no.harm.wav_52","simulations",NA,"0.2_BB_am_no.harm.wav_52",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_52","200303-000.wav_53-1",0.905457798140823
"200303-006.wav_54",1,0.04,0.240022675737003,8.618,9.923,"0.2_BB_am_no.harm.wav_53","simulations",NA,"0.2_BB_am_no.harm.wav_53",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_53","200303-000.wav_54-1",0.983958424106834
"200303-006.wav_55",1,0.04,0.240022675736903,3.511,4.562,"0.2_BB_am_no.harm.wav_54","simulations",NA,"0.2_BB_am_no.harm.wav_54",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_54","200303-000.wav_55-1",0.896274866458425
"200303-006.wav_56",1,0.04,0.240022675737003,4.983,6.01,"0.2_BB_am_no.harm.wav_55","simulations",NA,"0.2_BB_am_no.harm.wav_55",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_55","200303-000.wav_56-1",0.917665935840989
"200303-006.wav_57",1,0.04,0.240022675736896,1.168,2.06,"0.2_BB_am_no.harm.wav_56","simulations",NA,"0.2_BB_am_no.harm.wav_56",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_56","200303-000.wav_57-1",0.786335982257956
"200303-006.wav_58",1,0.04,0.240022675736996,5.895,6.947,"0.2_BB_am_no.harm.wav_57","simulations",NA,"0.2_BB_am_no.harm.wav_57",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_57","200303-000.wav_58-1",0.817003960072242
"200303-006.wav_59",1,0.04,0.240022675736996,1.38,2.136,"0.2_BB_am_no.harm.wav_58","simulations",NA,"0.2_BB_am_no.harm.wav_58",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_58","200303-000.wav_59-1",0.996922090027584
"200303-006.wav_60",1,0.04,0.240022675736896,7.021,8.197,"0.2_BB_am_no.harm.wav_59","simulations",NA,"0.2_BB_am_no.harm.wav_59",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_59","200303-000.wav_60-1",0.9793337657568
"200303-006.wav_61",1,0.04,0.240022675736996,3.466,4.218,"0.2_BB_am_no.harm.wav_60","simulations",NA,"0.2_BB_am_no.harm.wav_60",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_60","200303-000.wav_61-1",0.856699304911135
"200303-006.wav_62",1,0.04,0.240022675736896,8.3,8.7,"0.2_pure.tone_am_no.harm.wav_1","simulations",NA,"0.2_pure.tone_am_no.harm.wav_1",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_1","200303-000.wav_62-1",0.999991860039241
"200303-006.wav_63",1,0.04,0.240022675736996,3.3,3.7,"0.2_pure.tone_am_no.harm.wav_2","simulations",NA,"0.2_pure.tone_am_no.harm.wav_2",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_2","200303-000.wav_63-1",0.999999997781042
"200303-006.wav_64",1,0.04,0.240022675736996,0.8,1.2,"0.2_pure.tone_am_no.harm.wav_3","simulations",NA,"0.2_pure.tone_am_no.harm.wav_3",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_3","200303-000.wav_64-1",0.99999924040033
"200303-006.wav_65",1,0.04,0.240022675736903,6.8,7.2,"0.2_pure.tone_am_no.harm.wav_4","simulations",NA,"0.2_pure.tone_am_no.harm.wav_4",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_4","200303-000.wav_65-1",0.999994889656212
"200303-006.wav_66",1,0.04,0.240022675737003,8.8,9.2,"0.2_pure.tone_am_no.harm.wav_5","simulations",NA,"0.2_pure.tone_am_no.harm.wav_5",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_5","200303-000.wav_66-1",0.999997761593229
"200303-006.wav_67",1,0.04,0.240022675737003,4.3,4.7,"0.2_pure.tone_am_no.harm.wav_6","simulations",NA,"0.2_pure.tone_am_no.harm.wav_6",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_6","200303-000.wav_67-1",0.999998420559426
"200303-006.wav_68",1,0.04,0.240022675736903,2.3,2.7,"0.2_pure.tone_am_no.harm.wav_7","simulations",NA,"0.2_pure.tone_am_no.harm.wav_7",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_7","200303-000.wav_68-1",0.999992327323259
"200303-006.wav_69",1,0.04,0.240022675737003,9.3,9.7,"0.2_pure.tone_am_no.harm.wav_8","simulations",NA,"0.2_pure.tone_am_no.harm.wav_8",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_8","200303-000.wav_69-1",0.999987224078635
"200303-006.wav_70",1,0.04,0.240022675736903,2.3,2.7,"0.2_pure.tone_am_no.harm.wav_9","simulations",NA,"0.2_pure.tone_am_no.harm.wav_9",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_9","200303-000.wav_70-1",0.999993509755504
"200303-006.wav_71",1,0.04,0.240022675737003,5.8,6.2,"0.2_pure.tone_am_no.harm.wav_10","simulations",NA,"0.2_pure.tone_am_no.harm.wav_10",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_10","200303-000.wav_71-1",0.999999446765745
"200303-006.wav_72",1,0.04,0.240022675737003,1.3,1.7,"0.2_pure.tone_am_no.harm.wav_11","simulations",NA,"0.2_pure.tone_am_no.harm.wav_11",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_11","200303-000.wav_72-1",0.999836108144298
"200303-006.wav_73",1,0.04,0.240022675736903,9.8,10.2,"0.2_pure.tone_am_no.harm.wav_12","simulations",NA,"0.2_pure.tone_am_no.harm.wav_12",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_12","200303-000.wav_73-1",0.999980627078655
"200303-006.wav_74",1,0.04,0.240022675737003,7.8,8.2,"0.2_pure.tone_am_no.harm.wav_13","simulations",NA,"0.2_pure.tone_am_no.harm.wav_13",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_13","200303-000.wav_74-1",0.999999650144587
"200303-006.wav_75",1,0.04,0.240022675736903,0.3,0.7,"0.2_pure.tone_am_no.harm.wav_14","simulations",NA,"0.2_pure.tone_am_no.harm.wav_14",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_14","200303-000.wav_75-1",0.999939923950926
"200303-006.wav_76",1,0.04,0.240022675737003,5.3,5.7,"0.2_pure.tone_am_no.harm.wav_15","simulations",NA,"0.2_pure.tone_am_no.harm.wav_15",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_15","200303-000.wav_76-1",0.999955946462654
"200303-006.wav_77",1,0.04,0.240022675737003,9.8,10.2,"0.2_pure.tone_am_no.harm.wav_16","simulations",NA,"0.2_pure.tone_am_no.harm.wav_16",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_16","200303-000.wav_77-1",0.999976323488369
"200303-006.wav_78",1,0.04,0.240022675736903,1.3,1.7,"0.2_pure.tone_am_no.harm.wav_17","simulations",NA,"0.2_pure.tone_am_no.harm.wav_17",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_17","200303-000.wav_78-1",0.999668622977427
"200303-006.wav_79",1,0.04,0.240022675737003,0.8,1.2,"0.2_pure.tone_am_no.harm.wav_18","simulations",NA,"0.2_pure.tone_am_no.harm.wav_18",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_18","200303-000.wav_79-1",0.999871641368883
"200303-006.wav_80",1,0.04,0.240022675737003,5.8,6.2,"0.2_pure.tone_am_no.harm.wav_19","simulations",NA,"0.2_pure.tone_am_no.harm.wav_19",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_19","200303-000.wav_80-1",0.999892163203571
"200303-006.wav_81",1,0.04,0.240022675736903,4.8,5.2,"0.2_pure.tone_am_no.harm.wav_20","simulations",NA,"0.2_pure.tone_am_no.harm.wav_20",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_20","200303-000.wav_81-1",0.99997471559201
"200303-006.wav_82",1,0.04,0.240022675737003,2.8,3.2,"0.2_pure.tone_am_no.harm.wav_21","simulations",NA,"0.2_pure.tone_am_no.harm.wav_21",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_21","200303-000.wav_82-1",0.999998056160713
"200303-006.wav_83",1,0.04,0.240022675736903,0.3,0.7,"0.2_pure.tone_am_no.harm.wav_22","simulations",NA,"0.2_pure.tone_am_no.harm.wav_22",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_22","200303-000.wav_83-1",0.999926300767834
"200303-006.wav_84",1,0.04,0.240022675737003,7.3,7.7,"0.2_pure.tone_am_no.harm.wav_23","simulations",NA,"0.2_pure.tone_am_no.harm.wav_23",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_23","200303-000.wav_84-1",0.999990858453294
"200303-006.wav_85",1,0.04,0.240022675737003,4.8,5.2,"0.2_pure.tone_am_no.harm.wav_24","simulations",NA,"0.2_pure.tone_am_no.harm.wav_24",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_24","200303-000.wav_85-1",0.999991564963372
"200303-006.wav_86",1,0.04,0.240022675736903,8.3,8.7,"0.2_pure.tone_am_no.harm.wav_25","simulations",NA,"0.2_pure.tone_am_no.harm.wav_25",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_25","200303-000.wav_86-1",0.999973358452027
"200303-006.wav_87",1,0.04,0.240022675737003,5.3,5.7,"0.2_pure.tone_am_no.harm.wav_26","simulations",NA,"0.2_pure.tone_am_no.harm.wav_26",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_26","200303-000.wav_87-1",0.999954881893112
"200303-006.wav_88",1,0.04,0.240022675736903,9.3,9.7,"0.2_pure.tone_am_no.harm.wav_27","simulations",NA,"0.2_pure.tone_am_no.harm.wav_27",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_27","200303-000.wav_88-1",0.999997088495643
"200303-006.wav_89",1,0.04,0.240022675737003,3.8,4.2,"0.2_pure.tone_am_no.harm.wav_28","simulations",NA,"0.2_pure.tone_am_no.harm.wav_28",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_28","200303-000.wav_89-1",0.999965919441732
"200303-006.wav_90",1,0.04,0.240022675736996,5.3,5.7,"0.2_pure.tone_am_no.harm.wav_29","simulations",NA,"0.2_pure.tone_am_no.harm.wav_29",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_29","200303-000.wav_90-1",0.999552038504003
"200303-006.wav_91",1,0.04,0.240022675736896,4.8,5.2,"0.2_pure.tone_am_no.harm.wav_30","simulations",NA,"0.2_pure.tone_am_no.harm.wav_30",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_30","200303-000.wav_91-1",0.999978558982856
"200303-006.wav_92",1,0.04,0.240022675736996,9.3,9.7,"0.2_pure.tone_am_no.harm.wav_31","simulations",NA,"0.2_pure.tone_am_no.harm.wav_31",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_31","200303-000.wav_92-1",0.99997456215832
"200303-006.wav_93",1,0.04,0.240022675736996,3.3,3.7,"0.2_pure.tone_am_no.harm.wav_32","simulations",NA,"0.2_pure.tone_am_no.harm.wav_32",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_32","200303-000.wav_93-1",0.999997720583485
"200303-006.wav_94",1,0.04,0.240022675736896,6.8,7.2,"0.2_pure.tone_am_no.harm.wav_33","simulations",NA,"0.2_pure.tone_am_no.harm.wav_33",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_33","200303-000.wav_94-1",0.99991763103358
"200303-006.wav_95",1,0.04,0.240022675736996,7.3,7.7,"0.2_pure.tone_am_no.harm.wav_34","simulations",NA,"0.2_pure.tone_am_no.harm.wav_34",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_34","200303-000.wav_95-1",0.999924135852507
"200303-006.wav_96",1,0.04,0.240022675736896,2.8,3.2,"0.2_pure.tone_am_no.harm.wav_35","simulations",NA,"0.2_pure.tone_am_no.harm.wav_35",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_35","200303-000.wav_96-1",0.999956260997099
"200303-006.wav_97",1,0.04,0.240022675736996,0.8,1.2,"0.2_pure.tone_am_no.harm.wav_36","simulations",NA,"0.2_pure.tone_am_no.harm.wav_36",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_36","200303-000.wav_97-1",0.999991068363846
"200303-006.wav_98",1,0.04,0.240022675736996,2.3,2.7,"0.2_pure.tone_am_no.harm.wav_37","simulations",NA,"0.2_pure.tone_am_no.harm.wav_37",25.1,0.31,10,"abierta",1,"0.2_pure.tone_am_no.harm.wav_37","200303-000.wav_98-1",0.999994102745826
