"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","spectral.correlation"
"200303-001.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.995658756985637
"200303-001.wav_3",1,0.04,0.24002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.622364211393356
"200303-001.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.871436209621414
"200303-001.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.967629145840977
"200303-001.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.975580068428084
"200303-001.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.998030107068119
"200303-001.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.989565377783105
"200303-001.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.952843477895554
"200303-001.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.954838941009235
"200303-001.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.851897829061491
"200303-001.wav_12",1,0.04,0.240022675736967,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.96400905450932
"200303-001.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.918813099139872
"200303-001.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_13","200303-000.wav_14-1",0.972602886015518
