"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-003.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",24.1,0.39,100,"abierta",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.801275432400438
"200303-010.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",27.1,0.2,100,"cerrado",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.773834545551326
"200303-016.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26.4,0.24,100,"abierta",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.693483956224774
"200303-017.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26,0.19,100,"cerrado",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.59450818083234
"200303-028.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26,0.2,100,"abierta",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.781798464994289
"200303-029.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",23.6,0.16,100,"cerrado",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.646508417534363
"200303-003.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",24.1,0.39,100,"abierta",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",0.83803366362487
"200303-010.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",27.1,0.2,100,"cerrado",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",0.873797167898659
"200303-016.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",26.4,0.24,100,"abierta",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",0.775712910359884
"200303-017.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",26,0.19,100,"cerrado",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",0.696572775758188
