"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","cross.correlation"
"200303-024.wav_173",1,0.04,0.140022675736994,4.3,4.7,"0.1_pure.tone_no.am_no.harm.wav_52","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_52",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_52","200303-000.wav_173-1",0.748035039455484
"200303-024.wav_174",1,0.04,0.140022675736895,8.8,9.2,"0.1_pure.tone_no.am_no.harm.wav_53","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_53",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_53","200303-000.wav_174-1",-0.0989728760839875
"200303-024.wav_175",1,0.04,0.140022675736994,3.8,4.2,"0.1_pure.tone_no.am_no.harm.wav_54","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_54",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_54","200303-000.wav_175-1",0.508134491357941
"200303-024.wav_176",1,0.04,0.140022675736994,5.8,6.2,"0.1_pure.tone_no.am_no.harm.wav_55","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_55",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_55","200303-000.wav_176-1",0.394227676872827
"200303-024.wav_177",1,0.04,0.140022675736895,1.8,2.2,"0.1_pure.tone_no.am_no.harm.wav_56","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_56",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_56","200303-000.wav_177-1",0.771211286421477
"200303-024.wav_178",1,0.04,0.140022675736994,6.3,6.7,"0.1_pure.tone_no.am_no.harm.wav_57","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_57",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_57","200303-000.wav_178-1",0.142632063267424
"200303-024.wav_179",1,0.04,0.140022675736895,1.8,2.2,"0.1_pure.tone_no.am_no.harm.wav_58","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_58",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_58","200303-000.wav_179-1",0.782222343408566
"200303-024.wav_180",1,0.04,0.140022675736994,7.3,7.7,"0.1_pure.tone_no.am_no.harm.wav_59","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_59",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_59","200303-000.wav_180-1",-0.263201633642938
"200303-024.wav_181",1,0.04,0.140022675736994,3.8,4.2,"0.1_pure.tone_no.am_no.harm.wav_60","simulations",NA,"0.1_pure.tone_no.am_no.harm.wav_60",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_no.am_no.harm.wav_60","200303-000.wav_181-1",0.601938857979043
"200303-024.wav_182",1,0.04,0.240022675736889,7.875,8.805,"0.2_BB_no.am_no.harm.wav_1","simulations",NA,"0.2_BB_no.am_no.harm.wav_1",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_1","200303-000.wav_182-1",-0.00298186943742821
"200303-024.wav_183",1,0.04,0.240022675737003,3.208,4.069,"0.2_BB_no.am_no.harm.wav_2","simulations",NA,"0.2_BB_no.am_no.harm.wav_2",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_2","200303-000.wav_183-1",0.564913885885188
"200303-024.wav_184",1,0.04,0.240022675736903,0.422,1.223,"0.2_BB_no.am_no.harm.wav_3","simulations",NA,"0.2_BB_no.am_no.harm.wav_3",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_3","200303-000.wav_184-1",0.491611828102254
"200303-024.wav_185",1,0.04,0.240022675736989,6.905,7.917,"0.2_BB_no.am_no.harm.wav_4","simulations",NA,"0.2_BB_no.am_no.harm.wav_4",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_4","200303-000.wav_185-1",0.120977119170949
"200303-024.wav_186",1,0.04,0.240022675736989,8.417,9.416,"0.2_BB_no.am_no.harm.wav_5","simulations",NA,"0.2_BB_no.am_no.harm.wav_5",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_5","200303-000.wav_186-1",0.0612357110843083
"200303-024.wav_187",1,0.04,0.240022675736889,4.171,4.839,"0.2_BB_no.am_no.harm.wav_6","simulations",NA,"0.2_BB_no.am_no.harm.wav_6",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_6","200303-000.wav_187-1",0.477616175846478
"200303-024.wav_188",1,0.04,0.240022675737003,2.097,2.961,"0.2_BB_no.am_no.harm.wav_7","simulations",NA,"0.2_BB_no.am_no.harm.wav_7",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_7","200303-000.wav_188-1",0.775133554870305
"200303-024.wav_189",1,0.04,0.240022675736903,9.181,10.033,"0.2_BB_no.am_no.harm.wav_8","simulations",NA,"0.2_BB_no.am_no.harm.wav_8",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_8","200303-000.wav_189-1",-0.118412694191942
"200303-024.wav_190",1,0.04,0.240022675736903,1.849,2.506,"0.2_BB_no.am_no.harm.wav_9","simulations",NA,"0.2_BB_no.am_no.harm.wav_9",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_9","200303-000.wav_190-1",0.65904834400074
"200303-024.wav_191",1,0.04,0.240022675737003,5.632,6.83,"0.2_BB_no.am_no.harm.wav_10","simulations",NA,"0.2_BB_no.am_no.harm.wav_10",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_10","200303-000.wav_191-1",0.150099936580732
"200303-024.wav_192",1,0.04,0.240022675736903,1.474,2.55,"0.2_BB_no.am_no.harm.wav_11","simulations",NA,"0.2_BB_no.am_no.harm.wav_11",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_11","200303-000.wav_192-1",0.701493699353498
"200303-024.wav_193",1,0.04,0.240022675737003,9.598,10.233,"0.2_BB_no.am_no.harm.wav_12","simulations",NA,"0.2_BB_no.am_no.harm.wav_12",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_12","200303-000.wav_193-1",0.0820770706618525
"200303-024.wav_194",1,0.04,0.240022675737003,7.317,8.141,"0.2_BB_no.am_no.harm.wav_13","simulations",NA,"0.2_BB_no.am_no.harm.wav_13",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_13","200303-000.wav_194-1",0.17245427562627
