"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-006.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_1",6.83784273785503
"200303-006.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_2",15.558321470613
"200303-006.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_3",17.9619678793509
"200303-006.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_4",4.21241459796868
"200303-006.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_5",6.46791181254341
"200303-006.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_6",13.3578771949109
"200303-006.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_7",20.6306214960039
"200303-006.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_8",4.13537754202308
"200303-006.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_9",21.1636715690932
"200303-006.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_10",7.39537901863995
"200303-006.wav_12",1,0.04,0.240022675736975,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_11",21.0161186446358
"200303-006.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_12",1.64230238954163
"200303-006.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_13",9.67214421483355
"200303-006.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_14",13.1275085384599
"200303-006.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_15",2.17229459030592
"200303-006.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_16",3.96693011681708
"200303-006.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_17",20.8902455257572
"200303-006.wav_19",1,0.04,0.240022675736975,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_18",21.0686184618288
"200303-006.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_19",2.55995969663081
"200303-006.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_20",8.54731358241616
"200303-006.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_21",16.1593143278295
"200303-006.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_22",20.8340053521288
"200303-006.wav_24",1,0.04,0.240022675736953,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_23",2.80816820607706
"200303-006.wav_25",1,0.04,0.240022675736967,3.654,5,"0.2_BB_am_no.harm.wav_24","simulations",NA,"0.2_BB_am_no.harm.wav_24",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_24",10.7267298677953
"200303-006.wav_26",1,0.04,0.240022675736975,8.5,9.652,"0.2_BB_am_no.harm.wav_25","simulations",NA,"0.2_BB_am_no.harm.wav_25",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_25",6.33816025055728
"200303-006.wav_27",1,0.04,0.24002267573696,4.933,6.011,"0.2_BB_am_no.harm.wav_26","simulations",NA,"0.2_BB_am_no.harm.wav_26",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_26",7.45998600554795
"200303-006.wav_28",1,0.04,0.24002267573696,9.013,10.015,"0.2_BB_am_no.harm.wav_27","simulations",NA,"0.2_BB_am_no.harm.wav_27",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_27",5.71499498214628
"200303-006.wav_29",1,0.04,0.240022675736953,3.624,4.12,"0.2_BB_am_no.harm.wav_28","simulations",NA,"0.2_BB_am_no.harm.wav_28",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_28",14.9897509664388
"200303-006.wav_30",1,0.04,0.24002267573696,5.027,5.695,"0.2_BB_am_no.harm.wav_29","simulations",NA,"0.2_BB_am_no.harm.wav_29",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_29",8.43472777020175
