"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-004.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_1",-0.246520548462855
"200303-004.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_2",2.09614028251785
"200303-004.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_3",0.416707683528095
"200303-004.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_4",1.82962548303884
"200303-004.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_5",0.3498426629328
"200303-004.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_6",0.478269070709675
"200303-004.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_7",1.94481712028218
"200303-004.wav_9",1,0.04,0.240022675736957,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_8",-1.01090668122111
"200303-004.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_9",4.61547578868565
"200303-004.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_10",-1.09495046131372
"200303-004.wav_12",1,0.04,0.240022675736971,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_11",6.00406498903878
"200303-004.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_12",0.337254705272521
"200303-004.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_13",0.480190767177133
"200303-004.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_14",0.390493142097745
"200303-004.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_15",-0.140312254745144
"200303-004.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_16",-0.496441081783156
"200303-004.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_17",6.07189540323935
"200303-004.wav_19",1,0.04,0.240022675736975,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_18",2.28556963336565
"200303-004.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_19",-0.359354214503289
"200303-004.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_20",0.419277024428951
"200303-004.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_21",3.89934007870646
"200303-004.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_22",1.02645467583463
"200303-004.wav_24",1,0.04,0.24002267573696,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_23",-1.20295822007826
"200303-004.wav_25",1,0.04,0.240022675736967,3.654,5,"0.2_BB_am_no.harm.wav_24","simulations",NA,"0.2_BB_am_no.harm.wav_24",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_24",0.6780924058193
