"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","envelope.correlation"
"200303-006.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.880436404506038
"200303-006.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.744571557060928
"200303-006.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.765100177618465
"200303-006.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.943082438347601
"200303-006.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.878828821782034
"200303-006.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.7909213026985
"200303-006.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.898379713554408
"200303-006.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.834073067879136
"200303-006.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.858985698355269
"200303-006.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.968380603166019
"200303-006.wav_12",1,0.04,0.240022675736975,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.801037950632345
"200303-006.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.878030578261194
"200303-006.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_13","200303-000.wav_14-1",0.890685739976498
"200303-006.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_14","200303-000.wav_15-1",0.816401883840886
"200303-006.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_15","200303-000.wav_16-1",0.940558660506189
"200303-006.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_16","200303-000.wav_17-1",0.784092751974769
"200303-006.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_17","200303-000.wav_18-1",0.896481847086341
"200303-006.wav_19",1,0.04,0.240022675736975,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_18","200303-000.wav_19-1",0.887654764550406
"200303-006.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_19","200303-000.wav_20-1",0.941144136080904
"200303-006.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_20","200303-000.wav_21-1",0.849932755312184
"200303-006.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_21","200303-000.wav_22-1",0.914027855368163
"200303-006.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_22","200303-000.wav_23-1",0.954255351933175
"200303-006.wav_24",1,0.04,0.240022675736953,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_23","200303-000.wav_24-1",0.932817717346706
