"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-006.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",25.1,0.31,10,"abierta",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",3.77014028128596
"200303-007.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",25,0.29,10,"cerrado",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",3.55420893447086
"200303-013.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",25,0.23,10,"abierta",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",4.49746776686771
"200303-015.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26.3,0.2,10,"cerrado",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",4.17780631940744
"200303-021.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",28,0.19,10,"abierta",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",3.25735860906228
"200303-022.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26.6,0.195,10,"cerrado",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",4.09600895687632
"200303-006.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",25.1,0.31,10,"abierta",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",4.07014928706761
"200303-007.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",25,0.29,10,"cerrado",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",3.98763072048731
"200303-013.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",25,0.23,10,"abierta",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",4.37038262498175
"200303-015.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",26.3,0.2,10,"cerrado",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",4.75548670857119
