"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","cross.correlation"
"200303-006.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.910415150007491
"200303-006.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.900957872717091
"200303-006.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.848471360535207
"200303-006.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.930759528830282
"200303-006.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.92035542410781
"200303-006.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.875185801675881
"200303-006.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.919587620619498
"200303-006.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.916643793710935
"200303-006.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.904299198363685
"200303-006.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",25.1,0.31,10,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.906888285548252
