"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","blur.ratio"
"200303-001.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.0837177726167183
"200303-001.wav_3",1,0.04,0.24002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.16359841918558
"200303-001.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.126682106733516
"200303-001.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.0974915295326936
"200303-001.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.178204449781879
"200303-001.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.0746180698116827
"200303-001.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.0750125886321347
"200303-001.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.132189210662077
"200303-001.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.0935210150477345
"200303-001.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.0764993575860176
"200303-001.wav_12",1,0.04,0.240022675736967,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.100842619446306
"200303-001.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.0966076587809471
"200303-001.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_13","200303-000.wav_14-1",0.0618577687924502
"200303-001.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_14","200303-000.wav_15-1",0.164041216383275
"200303-001.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_15","200303-000.wav_16-1",0.1191492684
"200303-001.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_16","200303-000.wav_17-1",0.11837865037115
"200303-001.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_17","200303-000.wav_18-1",0.0991690681388156
"200303-001.wav_19",1,0.04,0.240022675736967,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_18","200303-000.wav_19-1",0.113681426552357
"200303-001.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_19","200303-000.wav_20-1",0.140431770832283
"200303-001.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_20","200303-000.wav_21-1",0.187036630469832
"200303-001.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_21","200303-000.wav_22-1",0.0911239232574332
"200303-001.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_22","200303-000.wav_23-1",0.151616366832076
"200303-001.wav_24",1,0.04,0.24002267573696,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_23","200303-000.wav_24-1",0.118738957113205
"200303-001.wav_25",1,0.04,0.240022675736975,3.654,5,"0.2_BB_am_no.harm.wav_24","simulations",NA,"0.2_BB_am_no.harm.wav_24",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_24","200303-000.wav_25-1",0.158467485488512
"200303-001.wav_26",1,0.04,0.240022675736967,8.5,9.652,"0.2_BB_am_no.harm.wav_25","simulations",NA,"0.2_BB_am_no.harm.wav_25",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_25","200303-000.wav_26-1",0.116704409956738
"200303-001.wav_27",1,0.04,0.24002267573696,4.933,6.011,"0.2_BB_am_no.harm.wav_26","simulations",NA,"0.2_BB_am_no.harm.wav_26",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_26","200303-000.wav_27-1",0.094625260062914
"200303-001.wav_28",1,0.04,0.24002267573696,9.013,10.015,"0.2_BB_am_no.harm.wav_27","simulations",NA,"0.2_BB_am_no.harm.wav_27",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_27","200303-000.wav_28-1",0.0832033177328512
"200303-001.wav_29",1,0.04,0.24002267573696,3.624,4.12,"0.2_BB_am_no.harm.wav_28","simulations",NA,"0.2_BB_am_no.harm.wav_28",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_28","200303-000.wav_29-1",0.131520555625955
"200303-001.wav_30",1,0.04,0.24002267573696,5.027,5.695,"0.2_BB_am_no.harm.wav_29","simulations",NA,"0.2_BB_am_no.harm.wav_29",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_29","200303-000.wav_30-1",0.160506097487322
"200303-001.wav_31",1,0.04,0.24002267573696,4.788,5.593,"0.2_BB_am_no.harm.wav_30","simulations",NA,"0.2_BB_am_no.harm.wav_30",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_30","200303-000.wav_31-1",0.147880266890007
"200303-001.wav_32",1,0.04,0.240022675736967,8.076,9.5,"0.2_BB_am_no.harm.wav_31","simulations",NA,"0.2_BB_am_no.harm.wav_31",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_31","200303-000.wav_32-1",0.0851498664379461
"200303-001.wav_33",1,0.04,0.240022675736996,3.158,4.333,"0.2_BB_am_no.harm.wav_32","simulations",NA,"0.2_BB_am_no.harm.wav_32",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_32","200303-000.wav_33-1",0.110848094757098
"200303-001.wav_34",1,0.04,0.240022675736896,5.941,7.32,"0.2_BB_am_no.harm.wav_33","simulations",NA,"0.2_BB_am_no.harm.wav_33",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_33","200303-000.wav_34-1",0.110870801944201
"200303-001.wav_35",1,0.04,0.240022675736996,6.838,7.5,"0.2_BB_am_no.harm.wav_34","simulations",NA,"0.2_BB_am_no.harm.wav_34",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_34","200303-000.wav_35-1",0.0956218116021402
"200303-001.wav_36",1,0.04,0.240022675736996,2.66,3.141,"0.2_BB_am_no.harm.wav_35","simulations",NA,"0.2_BB_am_no.harm.wav_35",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_35","200303-000.wav_36-1",0.0690383007644107
