"sound.files","selec","start","end","bottom.freq","top.freq","orig.sound.file"
"consolidated_master.wav",1,1,2,1.33333333333333,2.66666666666667,"start_marker"
"consolidated_master.wav",2,2.05,2.25002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1"
"consolidated_master.wav",3,2.30002267573696,2.50004535147392,3.208,4.069,"0.2_BB_am_no.harm.wav_2"
"consolidated_master.wav",4,2.55004535147392,2.75006802721088,0.422,1.223,"0.2_BB_am_no.harm.wav_3"
"consolidated_master.wav",5,2.80006802721088,3.00009070294785,6.905,7.917,"0.2_BB_am_no.harm.wav_4"
"consolidated_master.wav",6,3.05009070294785,3.25011337868481,8.417,9.416,"0.2_BB_am_no.harm.wav_5"
"consolidated_master.wav",7,3.30011337868481,3.50013605442177,4.171,4.839,"0.2_BB_am_no.harm.wav_6"
"consolidated_master.wav",8,3.55013605442177,3.75015873015873,2.097,2.961,"0.2_BB_am_no.harm.wav_7"
"consolidated_master.wav",9,3.80015873015873,4.00018140589569,9.181,10.033,"0.2_BB_am_no.harm.wav_8"
"consolidated_master.wav",10,4.05018140589569,4.25020408163265,1.849,2.506,"0.2_BB_am_no.harm.wav_9"
"consolidated_master.wav",11,4.30020408163265,4.50022675736961,5.632,6.83,"0.2_BB_am_no.harm.wav_10"
"consolidated_master.wav",12,4.55022675736961,4.75024943310658,1.474,2.55,"0.2_BB_am_no.harm.wav_11"
"consolidated_master.wav",13,4.80024943310658,5.00027210884354,9.598,10.233,"0.2_BB_am_no.harm.wav_12"
"consolidated_master.wav",14,5.05027210884354,5.2502947845805,7.317,8.141,"0.2_BB_am_no.harm.wav_13"
"consolidated_master.wav",15,5.3002947845805,5.50031746031746,0.1,0.81,"0.2_BB_am_no.harm.wav_14"
"consolidated_master.wav",16,5.55031746031746,5.75034013605442,5.396,6.152,"0.2_BB_am_no.harm.wav_15"
"consolidated_master.wav",17,5.80034013605442,6.00036281179138,9.435,10.377,"0.2_BB_am_no.harm.wav_16"
"consolidated_master.wav",18,6.05036281179138,6.25038548752834,1.23,2.525,"0.2_BB_am_no.harm.wav_17"
"consolidated_master.wav",19,6.30038548752834,6.50040816326531,0.836,1.646,"0.2_BB_am_no.harm.wav_18"
"consolidated_master.wav",20,6.55040816326531,6.75043083900227,5.718,7.372,"0.2_BB_am_no.harm.wav_19"
"consolidated_master.wav",21,6.80043083900227,7.00045351473923,4.792,5.287,"0.2_BB_am_no.harm.wav_20"
"consolidated_master.wav",22,7.05045351473923,7.25047619047619,2.461,3.506,"0.2_BB_am_no.harm.wav_21"
"consolidated_master.wav",23,7.30047619047619,7.50049886621315,0.365,1.098,"0.2_BB_am_no.harm.wav_22"
"consolidated_master.wav",24,7.55049886621315,7.75052154195011,7.176,7.777,"0.2_BB_am_no.harm.wav_23"
"consolidated_master.wav",25,7.80052154195011,8.00054421768708,3.654,5,"0.2_BB_am_no.harm.wav_24"
"consolidated_master.wav",26,8.05054421768707,8.25056689342404,8.5,9.652,"0.2_BB_am_no.harm.wav_25"
"consolidated_master.wav",27,8.30056689342404,8.500589569161,4.933,6.011,"0.2_BB_am_no.harm.wav_26"
"consolidated_master.wav",28,8.550589569161,8.75061224489796,9.013,10.015,"0.2_BB_am_no.harm.wav_27"
"consolidated_master.wav",29,8.80061224489796,9.00063492063492,3.624,4.12,"0.2_BB_am_no.harm.wav_28"
"consolidated_master.wav",30,9.05063492063492,9.25065759637188,5.027,5.695,"0.2_BB_am_no.harm.wav_29"
"consolidated_master.wav",31,9.30065759637188,9.50068027210884,4.788,5.593,"0.2_BB_am_no.harm.wav_30"
"consolidated_master.wav",32,9.55068027210884,9.75070294784581,8.076,9.5,"0.2_BB_am_no.harm.wav_31"
"consolidated_master.wav",33,9.8007029478458,10.0007256235828,3.158,4.333,"0.2_BB_am_no.harm.wav_32"
