"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","envelope.correlation"
"200303-004.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.796449164290866
"200303-004.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.969132149524161
"200303-004.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.968008902587364
"200303-004.wav_965",1,0.04,0.166984126983984,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.906095820306673
"200303-004.wav_966",1,0.04,0.185555555555973,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.892493602739113
"200303-004.wav_967",1,0.04,0.0973015873010263,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.755321738929982
"200303-004.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.809432442055456
"200303-004.wav_969",1,0.04,0.163877551019973,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.932068831077513
"200303-004.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.943190901903049
"200303-004.wav_971",1,0.04,0.182471655329018,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.930971933667478
"200303-004.wav_972",1,0.04,0.29702947845798,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.899824497213629
"200303-004.wav_973",1,0.04,0.122086167800981,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.90750715279864
"200303-004.wav_974",1,0.04,0.094217687074015,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.912336360789582
"200303-004.wav_975",1,0.04,0.171632653061956,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.800342249077123
"200303-004.wav_976",1,0.04,0.12673469387702,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.88893005493442
"200303-004.wav_977",1,0.04,0.345034013605962,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.783841263629532
"200303-004.wav_978",1,0.04,0.383741496598,1.5114,6.0458,"Haemorhous-mexicanus-13700.wav_17","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_17",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_17","200303-000.wav_978-1",0.822064379959039
"200303-004.wav_979",1,0.04,0.382199546485972,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_18","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_18",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_18","200303-000.wav_979-1",0.675468411934278
"200303-004.wav_980",1,0.04,0.143764172334991,2.6251,5.2105,"Haemorhous-mexicanus-220518.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_1",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_1","200303-000.wav_980-1",0.820502454762104
"200303-004.wav_981",1,0.04,0.163877551020996,1.8694,3.6195,"Haemorhous-mexicanus-220518.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_2",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_2","200303-000.wav_981-1",0.871083279116986
"200303-004.wav_982",1,0.04,0.13446712018098,2.9036,5.5685,"Haemorhous-mexicanus-220518.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_3",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_3","200303-000.wav_982-1",0.805225078462636
"200303-004.wav_983",1,0.04,0.18555555555603,3.0229,5.7673,"Haemorhous-mexicanus-220518.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_4",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_4","200303-000.wav_983-1",0.754042233975937
"200303-004.wav_984",1,0.04,0.20104308390004,2.9831,5.6878,"Haemorhous-mexicanus-220518.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_5",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_5","200303-000.wav_984-1",0.775824825026979
"200303-004.wav_985",1,0.04,0.0864625850339644,4.9761,7.9592,"Haemorhous-mexicanus-220518.wav_6","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_6",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_6","200303-000.wav_985-1",0.702307592956689
"200303-004.wav_986",1,0.04,0.109705215418992,2.5896,4.3397,"Haemorhous-mexicanus-220518.wav_7","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_7",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_7","200303-000.wav_986-1",0.825661020966246
"200303-004.wav_987",1,0.04,0.174716553288001,3.1067,4.6977,"Haemorhous-mexicanus-220518.wav_8","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_8",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_8","200303-000.wav_987-1",0.687817766917546
"200303-004.wav_988",1,0.04,0.142199546485963,2.1919,5.3341,"Haemorhous-mexicanus-220518.wav_9","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_9",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-220518.wav_9","200303-000.wav_988-1",0.780256503797855
