"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-006.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",4.25129147829311
"200303-007.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",4.71214063454406
"200303-013.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25,0.23,10,"abierta",2,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",4.01759616572603
"200303-015.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",26.3,0.2,10,"cerrado",2,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",4.69584426575522
"200303-021.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",28,0.19,10,"abierta",3,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",3.65672166787268
"200303-022.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",26.6,0.195,10,"cerrado",3,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",3.97514818797369
"200303-006.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",4.32618617193844
"200303-007.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",4.44100701321023
"200303-013.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25,0.23,10,"abierta",2,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",3.88367409539603
"200303-015.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",26.3,0.2,10,"cerrado",2,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",4.11336367014689
"200303-021.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",28,0.19,10,"abierta",3,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",3.68556753340167
"200303-022.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",26.6,0.195,10,"cerrado",3,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",4.30195245734946
"200303-006.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",4.18784574359875
"200303-007.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",4.67981527056241
"200303-013.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",25,0.23,10,"abierta",2,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",3.81530139230184
"200303-015.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",26.3,0.2,10,"cerrado",2,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",4.26027558461871
"200303-021.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",28,0.19,10,"abierta",3,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",3.63498103254735
"200303-022.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",26.6,0.195,10,"cerrado",3,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",3.92676896917133
"200303-006.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",4.43047532288785
"200303-007.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",4.78381954174547
"200303-013.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",25,0.23,10,"abierta",2,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",3.83601251589583
"200303-015.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",26.3,0.2,10,"cerrado",2,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",4.31184461525566
"200303-021.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",28,0.19,10,"abierta",3,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",3.62974400921769
