"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","envelope.correlation"
"200303-001.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.808877530767829
"200303-001.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.975517824272843
"200303-001.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.965269880325556
"200303-001.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.959134146528361
"200303-001.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.9579852939474
"200303-001.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.818477926271816
"200303-001.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.87153403649872
"200303-001.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.978201497517716
"200303-001.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.986771641293824
"200303-001.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.951478194061902
"200303-001.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.927120898546768
"200303-001.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.794611651199034
"200303-001.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.853539811988993
"200303-001.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.855041775912573
"200303-001.wav_976",1,0.04,0.126734693876991,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.915684770489154
"200303-001.wav_977",1,0.04,0.34503401360599,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.853238043946077
"200303-001.wav_978",1,0.04,0.383741496598,1.5114,6.0458,"Haemorhous-mexicanus-13700.wav_17","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_17",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_17","200303-000.wav_978-1",0.796316084936978
"200303-001.wav_979",1,0.04,0.382199546486,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_18","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_18",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_18","200303-000.wav_979-1",0.750475977460795
"200303-001.wav_980",1,0.04,0.143764172334991,2.6251,5.2105,"Haemorhous-mexicanus-220518.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_1","200303-000.wav_980-1",0.885479254209241
"200303-001.wav_981",1,0.04,0.163877551020996,1.8694,3.6195,"Haemorhous-mexicanus-220518.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_2","200303-000.wav_981-1",0.885865358021775
"200303-001.wav_982",1,0.04,0.13446712018098,2.9036,5.5685,"Haemorhous-mexicanus-220518.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_3","200303-000.wav_982-1",0.857858311019489
"200303-001.wav_983",1,0.04,0.185555555556001,3.0229,5.7673,"Haemorhous-mexicanus-220518.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_4","200303-000.wav_983-1",0.849453763477266
"200303-001.wav_984",1,0.04,0.201043083900012,2.9831,5.6878,"Haemorhous-mexicanus-220518.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_5","200303-000.wav_984-1",0.826874107149373
"200303-001.wav_985",1,0.04,0.0864625850339928,4.9761,7.9592,"Haemorhous-mexicanus-220518.wav_6","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_6","200303-000.wav_985-1",0.847961527204109
"200303-001.wav_986",1,0.04,0.10970521541902,2.5896,4.3397,"Haemorhous-mexicanus-220518.wav_7","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_7","200303-000.wav_986-1",0.86813213730985
"200303-001.wav_987",1,0.04,0.174716553288001,3.1067,4.6977,"Haemorhous-mexicanus-220518.wav_8","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_8","200303-000.wav_987-1",0.717246325808124
"200303-001.wav_988",1,0.04,0.142199546485991,2.1919,5.3341,"Haemorhous-mexicanus-220518.wav_9","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_9","200303-000.wav_988-1",0.808851898987969
"200303-001.wav_989",1,0.04,0.244399092969993,2.1521,4.5783,"Haemorhous-mexicanus-220518.wav_10","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_10","200303-000.wav_989-1",0.800969445136687
