"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","blur.ratio"
"200303-006.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.116703255436026
"200303-006.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.213866716937998
"200303-006.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.226204202994267
"200303-006.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.134852156086458
"200303-006.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.165462473743608
"200303-006.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.180359583963795
"200303-006.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.0947684250990163
"200303-006.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.168929884465289
"200303-006.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.0744586013953567
"200303-006.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.219806012302196
"200303-006.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.169654568167387
"200303-006.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.202641626482085
"200303-006.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.185287198579969
"200303-006.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.139223943997436
"200303-006.wav_976",1,0.04,0.126734693876991,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.168231300918363
"200303-006.wav_977",1,0.04,0.34503401360599,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.156321903972491
