"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-007.wav_1025",1,0.04,0.219569160998,1.7501,5.0116,"Haemorhous-mexicanus-268458.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_9",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_9",16.1142700121087
"200303-007.wav_1026",1,0.04,0.223945578230976,1.9092,5.7276,"Haemorhous-mexicanus-268458.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_10",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_10",14.9156220245668
"200303-007.wav_1027",1,0.04,0.18891156462599,1.8296,4.4548,"Haemorhous-mexicanus-268458.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_11",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_11",19.4671623039882
"200303-007.wav_1028",1,0.04,0.153877551021005,2.0683,5.2503,"Haemorhous-mexicanus-268458.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_12",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_12",12.8520793843739
"200303-007.wav_1029",1,0.04,0.171405895691017,1.0341,7.3981,"Haemorhous-mexicanus-268458.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_13",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_13",15.0000956064011
"200303-007.wav_1030",1,0.04,0.0969614512470196,1.6705,4.9321,"Haemorhous-mexicanus-268458.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_14",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_14",12.6711274704631
"200303-007.wav_1031",1,0.04,0.232698412699002,1.2728,3.8184,"Haemorhous-mexicanus-268458.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_15",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_15",17.7984598066547
"200303-007.wav_1032",1,0.04,0.429773242629985,1.3523,9.3073,"Haemorhous-mexicanus-268458.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-268458.wav_16",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-268458.wav_16",14.9741404213678
"200303-007.wav_1033",1,0.04,0.147301587302004,2.6914,6.2181,"Haemorhous-mexicanus-378922.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_1",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_1",9.99755837678396
"200303-007.wav_1034",1,0.04,0.15825396825401,2.1346,5.1972,"Haemorhous-mexicanus-378922.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_2",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_2",9.25743600073231
