"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","spectral.blur.ratio"
"200303-006.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.0788828976563352
"200303-006.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.112194849337194
"200303-006.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.0900071838935636
"200303-006.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.0687699130271021
"200303-006.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.136389786057636
"200303-006.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.0574983928890033
"200303-006.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.099698848345133
"200303-006.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.0819424167392365
"200303-006.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.0567484701465377
"200303-006.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.128268435503323
"200303-006.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.175347771769411
"200303-006.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.112124523977809
"200303-006.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.0481829735509164
"200303-006.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.107147994931576
"200303-006.wav_976",1,0.04,0.126734693876991,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.0579066513213112
"200303-006.wav_977",1,0.04,0.34503401360599,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.170482738018731
"200303-006.wav_978",1,0.04,0.383741496598,1.5114,6.0458,"Haemorhous-mexicanus-13700.wav_17","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_17",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_17","200303-000.wav_978-1",0.152331730972603
"200303-006.wav_979",1,0.04,0.382199546486,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_18","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_18",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_18","200303-000.wav_979-1",0.14700531730576
"200303-006.wav_980",1,0.04,0.143764172334991,2.6251,5.2105,"Haemorhous-mexicanus-220518.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_1","200303-000.wav_980-1",0.0490089634229178
"200303-006.wav_981",1,0.04,0.163877551020996,1.8694,3.6195,"Haemorhous-mexicanus-220518.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_2",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_2","200303-000.wav_981-1",0.0677677070842809
"200303-006.wav_982",1,0.04,0.13446712018098,2.9036,5.5685,"Haemorhous-mexicanus-220518.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_3",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_3","200303-000.wav_982-1",0.0516823090226566
"200303-006.wav_983",1,0.04,0.185555555556001,3.0229,5.7673,"Haemorhous-mexicanus-220518.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_4",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_4","200303-000.wav_983-1",0.0911232342326022
"200303-006.wav_984",1,0.04,0.201043083900012,2.9831,5.6878,"Haemorhous-mexicanus-220518.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_5",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_5","200303-000.wav_984-1",0.107732008771132
"200303-006.wav_985",1,0.04,0.0864625850339928,4.9761,7.9592,"Haemorhous-mexicanus-220518.wav_6","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_6",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_6","200303-000.wav_985-1",0.0576008316316869
"200303-006.wav_986",1,0.04,0.10970521541902,2.5896,4.3397,"Haemorhous-mexicanus-220518.wav_7","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_7",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_7","200303-000.wav_986-1",0.0377604138335971
"200303-006.wav_987",1,0.04,0.174716553288001,3.1067,4.6977,"Haemorhous-mexicanus-220518.wav_8","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_8",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_8","200303-000.wav_987-1",0.0820454777166315
"200303-006.wav_988",1,0.04,0.142199546485991,2.1919,5.3341,"Haemorhous-mexicanus-220518.wav_9","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_9",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_9","200303-000.wav_988-1",0.0561528157757174
"200303-006.wav_989",1,0.04,0.244399092969993,2.1521,4.5783,"Haemorhous-mexicanus-220518.wav_10","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_10",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_10","200303-000.wav_989-1",0.109443233305994
"200303-006.wav_990",1,0.04,0.264512471655004,1.7146,5.0556,"Haemorhous-mexicanus-220518.wav_11","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_11",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_11","200303-000.wav_990-1",0.120050243301328
"200303-006.wav_991",1,0.04,0.180907029478996,1.8339,5.692,"Haemorhous-mexicanus-220518.wav_12","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_12",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_12","200303-000.wav_991-1",0.0598255350559858
"200303-006.wav_992",1,0.04,0.114331065758997,1.5555,4.4192,"Haemorhous-mexicanus-220518.wav_13","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_13",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_13","200303-000.wav_992-1",0.0466423227871856
"200303-006.wav_993",1,0.04,0.13911564625898,1.5157,6.0898,"Haemorhous-mexicanus-220518.wav_14","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_14",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_14","200303-000.wav_993-1",0.043568613850036
"200303-006.wav_994",1,0.04,0.137573696144991,1.6748,6.3682,"Haemorhous-mexicanus-220518.wav_15","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_15",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_15","200303-000.wav_994-1",0.051860174004495
"200303-006.wav_995",1,0.04,0.148412698412991,1.635,6.3284,"Haemorhous-mexicanus-220518.wav_16","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_16",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-220518.wav_16","200303-000.wav_995-1",0.0591874228003943
"200303-006.wav_996",1,0.04,0.14530612244898,2.413,3.8051,"Haemorhous-mexicanus-252731.wav_1","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-252731.wav_1","200303-000.wav_996-1",0.0819506065281499
"200303-006.wav_997",1,0.04,0.151496598639008,1.8562,4.0835,"Haemorhous-mexicanus-252731.wav_2","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_2",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-252731.wav_2","200303-000.wav_997-1",0.0530391483331299
