"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","blur.ratio"
"200303-004.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.147845442146998
"200303-004.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.0887249398596623
"200303-004.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.0846387799345834
"200303-004.wav_965",1,0.04,0.166984126983984,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.147268816674275
"200303-004.wav_966",1,0.04,0.185555555555973,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.130706933771245
"200303-004.wav_967",1,0.04,0.0973015873010263,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.206085093871152
"200303-004.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.185430086542609
"200303-004.wav_969",1,0.04,0.163877551019973,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.127699258346638
"200303-004.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.113028079293952
"200303-004.wav_971",1,0.04,0.182471655329018,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",23.8,0.31,65,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.101566638188386
