"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","spectral.blur.ratio"
"200303-001.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.108514039074727
"200303-001.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.165566979448475
"200303-001.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.171037117890592
"200303-001.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.209169552476822
"200303-001.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.213125122799634
"200303-001.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.146333523081786
"200303-001.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.182920976413279
"200303-001.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.155739072880275
"200303-001.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.0810606778233667
"200303-001.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.101442788523678
"200303-001.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.204679830768474
"200303-001.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.21365435384012
"200303-001.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.0880841697669127
"200303-001.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.223602989005828
"200303-001.wav_976",1,0.04,0.126734693876991,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.134940995920189
"200303-001.wav_977",1,0.04,0.34503401360599,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.244832563044265
"200303-001.wav_978",1,0.04,0.383741496598,1.5114,6.0458,"Haemorhous-mexicanus-13700.wav_17","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_17",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_17","200303-000.wav_978-1",0.183663935016758
"200303-001.wav_979",1,0.04,0.382199546486,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_18","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_18",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_18","200303-000.wav_979-1",0.19209543205938
"200303-001.wav_980",1,0.04,0.143764172334991,2.6251,5.2105,"Haemorhous-mexicanus-220518.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_1","200303-000.wav_980-1",0.137815193573693
"200303-001.wav_981",1,0.04,0.163877551020996,1.8694,3.6195,"Haemorhous-mexicanus-220518.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_2","200303-000.wav_981-1",0.111737069491055
"200303-001.wav_982",1,0.04,0.13446712018098,2.9036,5.5685,"Haemorhous-mexicanus-220518.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_3","200303-000.wav_982-1",0.134824380579557
"200303-001.wav_983",1,0.04,0.185555555556001,3.0229,5.7673,"Haemorhous-mexicanus-220518.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_4","200303-000.wav_983-1",0.151035495593798
"200303-001.wav_984",1,0.04,0.201043083900012,2.9831,5.6878,"Haemorhous-mexicanus-220518.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_5","200303-000.wav_984-1",0.140285421773304
"200303-001.wav_985",1,0.04,0.0864625850339928,4.9761,7.9592,"Haemorhous-mexicanus-220518.wav_6","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_6","200303-000.wav_985-1",0.237157887861264
"200303-001.wav_986",1,0.04,0.10970521541902,2.5896,4.3397,"Haemorhous-mexicanus-220518.wav_7","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_7","200303-000.wav_986-1",0.15057652580437
"200303-001.wav_987",1,0.04,0.174716553288001,3.1067,4.6977,"Haemorhous-mexicanus-220518.wav_8","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_8","200303-000.wav_987-1",0.13901232272221
"200303-001.wav_988",1,0.04,0.142199546485991,2.1919,5.3341,"Haemorhous-mexicanus-220518.wav_9","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_9","200303-000.wav_988-1",0.14861082191283
"200303-001.wav_989",1,0.04,0.244399092969993,2.1521,4.5783,"Haemorhous-mexicanus-220518.wav_10","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_10","200303-000.wav_989-1",0.159273418294447
"200303-001.wav_990",1,0.04,0.264512471655004,1.7146,5.0556,"Haemorhous-mexicanus-220518.wav_11","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_11",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_11","200303-000.wav_990-1",0.120271208534639
"200303-001.wav_991",1,0.04,0.180907029478996,1.8339,5.692,"Haemorhous-mexicanus-220518.wav_12","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_12",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_12","200303-000.wav_991-1",0.147216443796559
"200303-001.wav_992",1,0.04,0.114331065758997,1.5555,4.4192,"Haemorhous-mexicanus-220518.wav_13","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_13",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_13","200303-000.wav_992-1",0.0993426537286604
"200303-001.wav_993",1,0.04,0.13911564625898,1.5157,6.0898,"Haemorhous-mexicanus-220518.wav_14","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_14",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_14","200303-000.wav_993-1",0.136697220760091
"200303-001.wav_994",1,0.04,0.137573696144991,1.6748,6.3682,"Haemorhous-mexicanus-220518.wav_15","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_15",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_15","200303-000.wav_994-1",0.12799276797091
"200303-001.wav_995",1,0.04,0.148412698412991,1.635,6.3284,"Haemorhous-mexicanus-220518.wav_16","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_16",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-220518.wav_16","200303-000.wav_995-1",0.136448691158071
"200303-001.wav_996",1,0.04,0.14530612244898,2.413,3.8051,"Haemorhous-mexicanus-252731.wav_1","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_1","200303-000.wav_996-1",0.156932570327929
"200303-001.wav_997",1,0.04,0.151496598639008,1.8562,4.0835,"Haemorhous-mexicanus-252731.wav_2","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_2","200303-000.wav_997-1",0.135681449642745
"200303-001.wav_998",1,0.04,0.284648526077015,2.2274,4.826,"Haemorhous-mexicanus-252731.wav_3","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_3","200303-000.wav_998-1",0.245358607497169
"200303-001.wav_999",1,0.04,0.30013605442202,1.5777,5.6613,"Haemorhous-mexicanus-252731.wav_4","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_4","200303-000.wav_999-1",0.259536127313485
"200303-001.wav_1000",1,0.04,0.272267573696021,1.6705,3.3411,"Haemorhous-mexicanus-252731.wav_5","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_5","200303-000.wav_1000-1",0.150037058988725
"200303-001.wav_1001",1,0.04,0.346575963719013,1.2065,5.1044,"Haemorhous-mexicanus-252731.wav_6","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_6","200303-000.wav_1001-1",0.189306704652719
"200303-001.wav_1002",1,0.04,0.293945578230997,1.4849,5.0116,"Haemorhous-mexicanus-252731.wav_7","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_7","200303-000.wav_1002-1",0.231754641219935
"200303-001.wav_1003",1,0.04,0.290839002268009,1.949,5.1972,"Haemorhous-mexicanus-252731.wav_8","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_8","200303-000.wav_1003-1",0.166316887914298
"200303-001.wav_1004",1,0.04,0.306326530612019,2.1346,5.8469,"Haemorhous-mexicanus-252731.wav_9","Paulina","bosque_abierto","Haemorhous-mexicanus-252731.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-252731.wav_9","200303-000.wav_1004-1",0.189829836079984
"200303-001.wav_1005",1,0.04,0.105714285713995,2.8638,4.773,"Haemorhous-mexicanus-268457.wav_1","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_1","200303-000.wav_1005-1",0.215024532237534
"200303-001.wav_1006",1,0.04,0.129795918367997,2.8638,4.9321,"Haemorhous-mexicanus-268457.wav_2","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_2",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_2","200303-000.wav_1006-1",0.241685866670525
"200303-001.wav_1007",1,0.04,0.114467120180998,3.1024,4.773,"Haemorhous-mexicanus-268457.wav_3","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_3",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_3","200303-000.wav_1007-1",0.274947807359391
"200303-001.wav_1008",1,0.04,0.142925170068005,2.7047,4.8525,"Haemorhous-mexicanus-268457.wav_4","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_4",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_4","200303-000.wav_1008-1",0.27255362638018
"200303-001.wav_1009",1,0.04,0.127596371882,2.9433,4.8525,"Haemorhous-mexicanus-268457.wav_5","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_5",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_5","200303-000.wav_1009-1",0.253863241552804
"200303-001.wav_1010",1,0.04,0.151700680272008,2.8638,4.6139,"Haemorhous-mexicanus-268457.wav_6","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_6",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_6","200303-000.wav_1010-1",0.252752833406793
"200303-001.wav_1011",1,0.04,0.129795918367997,2.7047,5.1707,"Haemorhous-mexicanus-268457.wav_7","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_7",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_7","200303-000.wav_1011-1",0.248843209016294
"200303-001.wav_1012",1,0.04,0.182335600907018,1.8296,5.0116,"Haemorhous-mexicanus-268457.wav_8","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_8",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_8","200303-000.wav_1012-1",0.217798862941844
"200303-001.wav_1013",1,0.04,0.127596371882,1.9092,4.3752,"Haemorhous-mexicanus-268457.wav_9","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_9",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_9","200303-000.wav_1013-1",0.142286743430835
"200303-001.wav_1014",1,0.04,0.140748299320003,2.1478,4.4548,"Haemorhous-mexicanus-268457.wav_10","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_10","200303-000.wav_1014-1",0.109817988111148
"200303-001.wav_1015",1,0.04,0.14074829931898,2.0683,4.2161,"Haemorhous-mexicanus-268457.wav_11","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_11",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_11","200303-000.wav_1015-1",0.132235584986836
"200303-001.wav_1016",1,0.04,0.191111111110993,1.4319,4.1366,"Haemorhous-mexicanus-268457.wav_12","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_12",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_12","200303-000.wav_1016-1",0.290201274765016
"200303-001.wav_1017",1,0.04,0.16263038548798,1.8296,4.2957,"Haemorhous-mexicanus-268457.wav_13","Paulina","desierto_cerrado","Haemorhous-mexicanus-268457.wav_13",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-268457.wav_13","200303-000.wav_1017-1",0.105990944333403
