Begin File,Low Freq (Hz),High Freq (Hz),template
dist.1-2.wav,7875,8805,0.2_BB_am_no.harm.wav_1
dist.1-3.wav,3208,4069,0.2_BB_am_no.harm.wav_2
dist.1-4.wav,422,1223,0.2_BB_am_no.harm.wav_3
dist.1-5.wav,6905,7917,0.2_BB_am_no.harm.wav_4
dist.1-6.wav,8417,9416,0.2_BB_am_no.harm.wav_5
dist.1-7.wav,4171,4839,0.2_BB_am_no.harm.wav_6
dist.1-8.wav,2097,2961,0.2_BB_am_no.harm.wav_7
dist.1-9.wav,9181,10033,0.2_BB_am_no.harm.wav_8
dist.1-10.wav,1849,2506,0.2_BB_am_no.harm.wav_9
dist.1-11.wav,5632,6830,0.2_BB_am_no.harm.wav_10
dist.1-12.wav,1474,2550,0.2_BB_am_no.harm.wav_11
dist.1-13.wav,9598,10233,0.2_BB_am_no.harm.wav_12
dist.1-14.wav,7317,8141,0.2_BB_am_no.harm.wav_13
dist.1-15.wav,100,810,0.2_BB_am_no.harm.wav_14
dist.1-16.wav,5396,6152,0.2_BB_am_no.harm.wav_15
dist.1-17.wav,9435,10377,0.2_BB_am_no.harm.wav_16
dist.1-18.wav,1230,2525,0.2_BB_am_no.harm.wav_17
dist.1-19.wav,836,1646,0.2_BB_am_no.harm.wav_18
dist.1-20.wav,5718,7372,0.2_BB_am_no.harm.wav_19
dist.1-21.wav,4792,5287,0.2_BB_am_no.harm.wav_20
